annotation	node
a00000000	14218
a00000256	14219
a00000257	14220
a00000258	14221
a00000259	14222
a00000260	14223
a00000261	14224
a00000262	14225
a00000263	14226
a00000264	14227
a00000265	14228
a00000266	14229
a00000267	14230
a00000268	14231
a00000269	14232
a00000270	14233
a00000271	14234
a00000272	14235
a00000273	14236
a00000274	14237
a00000275	14238
a00000276	14239
a00000277	14240
a00000278	14241
a00000279	14242
a00000280	14243
a00000281	14244
a00000282	14245
a00000283	14246
a00000284	14247
a00000285	14248
a00000286	14249
a00000287	14250
a00000288	14251
a00000289	14252
a00000290	14253
a00000291	14254
a00000292	14255
a00000293	14256
a00000294	14257
a00000295	14258
a00000296	14259
a00000297	14260
a00000298	14261
a00000299	14262
a00000300	14263
a00000301	14264
a00000302	14265
a00000303	14266
a00000304	14267
a00000305	14268
a00000306	14269
a00000307	14270
a00000308	14271
a00000309	14272
a00000310	14273
a00000311	14274
a00000312	14275
a00000313	14276
a00000314	14277
a00000315	14278
a00000316	14279
a00000317	14280
a00000318	14281
a00000319	14282
a00000320	14283
a00000321	14284
a00000322	14285
a00000323	14286
a00000324	14287
a00000325	14288
a00000326	14289
a00000327	14290
a00000328	14291
a00000329	14292
a00000330	14293
a00000331	14294
a00000332	14295
a00000333	14296
a00000334	14297
a00000335	14298
a00000336	14299
a00000337	14300
a00000338	14301
a00000339	14302
a00000340	14303
a00000341	14304
a00000342	14305
a00000343	14306
a00000344	14307
a00000345	14308
a00000346	14309
a00000347	14310
a00000348	14311
a00000349	14312
a00000350	14313
a00000351	14314
a00000352	14315
a00000353	14316
a00000354	14317
a00000355	14318
a00000356	14319
a00000357	14320
a00000358	14321
a00000359	14322
a00000360	14323
a00000361	14324
a00000362	14325
a00000363	14326
a00000364	14327
a00000365	14328
a00000366	14329
a00000367	14330
a00000368	14331
a00000369	14332
a00000370	14333
a00000371	14334
a00000372	14335
a00000373	14336
a00000374	14337
a00000375	14338
a00000376	14339
a00000377	14340
a00000378	14341
a00000379	14342
a00000380	14343
a00000381	14344
a00000382	14345
a00000383	14346
a00000384	14347
a00000385	14348
a00000386	14349
a00000387	14350
a00000388	14351
a00000389	14352
a00000390	14353
a00000391	14354
a00000392	14355
a00000393	14356
a00000394	14357
a00000395	14358
a00000396	14359
a00000397	14360
a00000398	14361
a00000399	14362
a00000400	14363
a00000401	14364
a00000402	14365
a00000403	14366
a00000404	14367
a00000405	14368
a00000406	14369
a00000407	14370
a00000408	14371
a00000409	14372
a00000410	14373
a00000411	14374
a00000412	14375
a00000413	14376
a00000414	14377
a00000415	14378
a00000416	14379
a00000417	14380
a00000418	14381
a00000419	14382
a00000420	14383
a00000421	14384
a00000422	14385
a00000423	14386
a00000424	14387
a00000425	14388
a00000426	14389
a00000427	14390
a00000428	14391
a00000429	14392
a00000430	14393
a00000431	14394
a00000432	14395
a00000433	14396
a00000434	14397
a00000435	14398
a00000436	14399
a00000437	14400
a00000438	14401
a00000439	14402
a00000440	14403
a00000441	14404
a00000442	14405
a00000443	14406
a00000444	14407
a00000445	14408
a00000446	14409
a00000447	14410
a00000448	14411
a00000449	14412
a00000450	14413
a00000451	14414
a00000452	14415
a00000453	14416
a00000454	14417
a00000455	14418
a00000456	14419
a00000457	14420
a00000458	14421
a00000459	14422
a00000460	14423
a00000461	14424
a00000462	14425
a00000463	14426
a00000464	14427
a00000465	14428
a00000466	14429
a00000467	14430
a00000468	14431
a00000469	14432
a00000470	14433
a00000471	14434
a00000472	14435
a00000473	14436
a00000474	14437
a00000475	14438
a00000476	14439
a00000477	14440
a00000478	14441
a00000479	14442
a00000480	14443
a00000481	14444
a00000482	14445
a00000483	14446
a00000484	14447
a00000485	14448
a00000486	14449
a00000487	14450
a00000488	14451
a00000489	14452
a00000490	14453
a00000491	14454
a00000492	14455
a00000493	14456
a00000494	14457
a00000495	14458
a00000496	14459
a00000497	14460
a00000498	14461
a00000499	14462
a00000500	14463
a00000501	14464
a00000502	14465
a00000503	14466
a00000504	14467
a00000505	14468
a00000506	14469
a00000507	14470
a00000508	14471
a00000509	14472
a00000510	14473
a00000511	14474
a00000512	14475
a00000513	14476
a00000514	14477
a00000515	14478
a00000516	14479
a00000517	14480
a00000518	14481
a00000519	14482
a00000520	14483
a00000521	14484
a00000522	14485
a00000523	14486
a00000524	14487
a00000525	14488
a00000526	14489
a00000527	14490
a00000528	14491
a00000529	14492
a00000530	14493
a00000531	14494
a00000532	14495
a00000533	14496
a00000534	14497
a00000535	14498
a00000536	14499
a00000537	14500
a00000538	14501
a00000539	14502
a00000540	14503
a00000541	14504
a00000542	14505
a00000543	14506
a00000544	14507
a00000545	14508
a00000546	14509
a00000547	14510
a00000548	14511
a00000549	14512
a00000550	14513
a00000551	14514
a00000552	14515
a00000553	14516
a00000554	14517
