annotation	node
a00000000	35974
a00000597	35975
a00000598	35976
a00000599	35977
a00000600	35978
a00000601	35979
a00000602	35980
a00000603	35981
a00000604	35982
a00000605	35983
a00000606	35984
a00000607	35985
a00000608	35986
a00000609	35987
a00000610	35988
a00000611	35989
a00000612	35990
a00000613	35991
a00000614	35992
a00000615	35993
a00000616	35994
a00000617	35995
a00000618	35996
a00000619	35997
a00000620	35998
a00000621	35999
a00000622	36000
a00000623	36001
a00000624	36002
a00000625	36003
a00000626	36004
a00000627	36005
a00000628	36006
a00000629	36007
a00000630	36008
a00000631	36009
a00000632	36010
a00000633	36011
a00000634	36012
a00000635	36013
a00000636	36014
a00000637	36015
a00000638	36016
a00000639	36017
a00000640	36018
a00000641	36019
a00000642	36020
a00000643	36021
a00000644	36022
a00000645	36023
a00000646	36024
a00000647	36025
a00000648	36026
a00000649	36027
a00000650	36028
a00000651	36029
a00000652	36030
a00000653	36031
a00000654	36032
a00000655	36033
a00000656	36034
a00000657	36035
a00000658	36036
a00000659	36037
a00000660	36038
a00000661	36039
a00000662	36040
a00000663	36041
a00000664	36042
a00000665	36043
a00000666	36044
a00000667	36045
a00000668	36046
a00000669	36047
a00000670	36048
a00000671	36049
a00000672	36050
a00000673	36051
a00000674	36052
a00000675	36053
a00000676	36054
a00000677	36055
a00000678	36056
a00000679	36057
a00000680	36058
a00000681	36059
a00000682	36060
a00000683	36061
a00000684	36062
a00000685	36063
a00000686	36064
a00000687	36065
a00000688	36066
a00000689	36067
a00000690	36068
a00000691	36069
a00000692	36070
a00000693	36071
a00000694	36072
a00000695	36073
a00000696	36074
a00000697	36075
a00000698	36076
a00000699	36077
a00000700	36078
a00000701	36079
a00000702	36080
a00000703	36081
a00000704	36082
a00000705	36083
a00000706	36084
a00000707	36085
a00000708	36086
a00000709	36087
a00000710	36088
a00000711	36089
a00000712	36090
a00000713	36091
a00000714	36092
a00000715	36093
a00000716	36094
a00000717	36095
a00000718	36096
a00000719	36097
a00000720	36098
a00000721	36099
a00000722	36100
a00000723	36101
a00000724	36102
a00000725	36103
a00000726	36104
a00000727	36105
a00000728	36106
a00000729	36107
a00000730	36108
a00000731	36109
a00000732	36110
a00000733	36111
a00000734	36112
a00000735	36113
a00000736	36114
a00000737	36115
a00000738	36116
a00000739	36117
a00000740	36118
a00000741	36119
a00000742	36120
a00000743	36121
a00000744	36122
a00000745	36123
a00000746	36124
a00000747	36125
a00000748	36126
a00000749	36127
a00000750	36128
a00000751	36129
a00000752	36130
a00000753	36131
a00000754	36132
a00000755	36133
a00000756	36134
a00000757	36135
a00000758	36136
a00000759	36137
a00000760	36138
a00000761	36139
a00000762	36140
a00000763	36141
a00000764	36142
a00000765	36143
a00000766	36144
a00000767	36145
a00000768	36146
a00000769	36147
a00000770	36148
a00000771	36149
a00000772	36150
a00000773	36151
a00000774	36152
a00000775	36153
a00000776	36154
a00000777	36155
a00000778	36156
a00000779	36157
a00000780	36158
a00000781	36159
a00000782	36160
a00000783	36161
a00000784	36162
a00000785	36163
a00000786	36164
a00000787	36165
a00000788	36166
a00000789	36167
a00000790	36168
a00000791	36169
a00000792	36170
a00000793	36171
a00000794	36172
a00000795	36173
a00000796	36174
a00000797	36175
a00000798	36176
a00000799	36177
a00000800	36178
a00000801	36179
a00000802	36180
a00000803	36181
a00000804	36182
a00000805	36183
a00000806	36184
a00000807	36185
a00000808	36186
a00000809	36187
a00000810	36188
a00000811	36189
a00000812	36190
a00000813	36191
a00000814	36192
a00000815	36193
a00000816	36194
a00000817	36195
a00000818	36196
a00000819	36197
a00000820	36198
a00000821	36199
a00000822	36200
a00000823	36201
a00000824	36202
a00000825	36203
a00000826	36204
a00000827	36205
a00000828	36206
a00000829	36207
a00000830	36208
a00000831	36209
a00000832	36210
a00000833	36211
a00000834	36212
a00000835	36213
a00000836	36214
a00000837	36215
a00000838	36216
a00000839	36217
a00000840	36218
a00000841	36219
a00000842	36220
a00000843	36221
a00000844	36222
a00000845	36223
a00000846	36224
a00000847	36225
a00000848	36226
a00000849	36227
a00000850	36228
a00000851	36229
a00000852	36230
a00000853	36231
a00000854	36232
a00000855	36233
a00000856	36234
a00000857	36235
a00000858	36236
a00000859	36237
a00000860	36238
a00000861	36239
a00000862	36240
a00000863	36241
a00000864	36242
a00000865	36243
a00000866	36244
a00000867	36245
a00000868	36246
a00000869	36247
a00000870	36248
a00000871	36249
a00000872	36250
a00000873	36251
a00000874	36252
a00000875	36253
a00000876	36254
a00000877	36255
a00000878	36256
a00000879	36257
a00000880	36258
a00000881	36259
a00000882	36260
a00000883	36261
a00000884	36262
a00000885	36263
a00000886	36264
a00000887	36265
a00000888	36266
a00000889	36267
a00000890	36268
a00000891	36269
a00000892	36270
a00000893	36271
a00000894	36272
a00000895	36273
a00000896	36274
a00000897	36275
a00000898	36276
a00000899	36277
a00000900	36278
a00000901	36279
a00000902	36280
a00000903	36281
a00000904	36282
a00000905	36283
a00000906	36284
a00000907	36285
a00000908	36286
a00000909	36287
a00000910	36288
a00000911	36289
a00000912	36290
a00000913	36291
a00000914	36292
a00000915	36293
a00000916	36294
a00000917	36295
a00000918	36296
a00000919	36297
a00000920	36298
a00000921	36299
a00000922	36300
a00000923	36301
a00000924	36302
a00000925	36303
a00000926	36304
a00000927	36305
a00000928	36306
a00000929	36307
a00000930	36308
a00000931	36309
a00000932	36310
a00000933	36311
a00000934	36312
a00000935	36313
a00000936	36314
a00000937	36315
a00000938	36316
a00000939	36317
a00000940	36318
a00000941	36319
a00000942	36320
a00000943	36321
a00000944	36322
a00000945	36323
a00000946	36324
a00000947	36325
a00000948	36326
a00000949	36327
a00000950	36328
a00000951	36329
a00000952	36330
a00000953	36331
a00000954	36332
a00000955	36333
a00000956	36334
a00000957	36335
a00000958	36336
a00000959	36337
a00000960	36338
a00000961	36339
a00000962	36340
a00000963	36341
a00000964	36342
a00000965	36343
a00000966	36344
a00000967	36345
a00000968	36346
a00000969	36347
a00000970	36348
a00000971	36349
a00000972	36350
a00000973	36351
a00000974	36352
a00000975	36353
a00000976	36354
a00000977	36355
a00000978	36356
a00000979	36357
a00000980	36358
a00000981	36359
a00000982	36360
a00000983	36361
a00000984	36362
a00000985	36363
a00000986	36364
a00000987	36365
a00000988	36366
a00000989	36367
a00000990	36368
a00000991	36369
a00000992	36370
a00000993	36371
a00000994	36372
a00000995	36373
a00000996	36374
a00000997	36375
a00000998	36376
a00000999	36377
a00001000	36378
a00001001	36379
a00001002	36380
a00001003	36381
a00001004	36382
a00001005	36383
a00001006	36384
a00001007	36385
a00001008	36386
a00001009	36387
a00001010	36388
a00001011	36389
a00001012	36390
a00001013	36391
a00001014	36392
a00001015	36393
a00001016	36394
a00001017	36395
a00001018	36396
a00001019	36397
a00001020	36398
a00001021	36399
a00001022	36400
a00001023	36401
a00001024	36402
a00001025	36403
a00001026	36404
a00001027	36405
a00001028	36406
a00001029	36407
a00001030	36408
a00001031	36409
a00001032	36410
a00001033	36411
a00001034	36412
a00001035	36413
a00001036	36414
a00001037	36415
a00001038	36416
a00001039	36417
a00001040	36418
a00001041	36419
a00001042	36420
a00001043	36421
a00001044	36422
a00001045	36423
a00001046	36424
a00001047	36425
a00001048	36426
a00001049	36427
a00001050	36428
a00001051	36429
a00001052	36430
a00001053	36431
a00001054	36432
a00001055	36433
a00001056	36434
a00001057	36435
a00001058	36436
a00001059	36437
a00001060	36438
a00001061	36439
a00001062	36440
a00001063	36441
a00001064	36442
a00001065	36443
a00001066	36444
a00001067	36445
a00001068	36446
a00001069	36447
a00001070	36448
a00001071	36449
a00001072	36450
a00001073	36451
a00001074	36452
a00001075	36453
a00001076	36454
a00001077	36455
a00001078	36456
a00001079	36457
a00001080	36458
a00001081	36459
a00001082	36460
a00001083	36461
a00001084	36462
a00001085	36463
a00001086	36464
a00001087	36465
a00001088	36466
a00001089	36467
a00001090	36468
a00001091	36469
a00001092	36470
a00001093	36471
a00001094	36472
a00001095	36473
a00001096	36474
a00001097	36475
a00001098	36476
a00001099	36477
a00001100	36478
a00001101	36479
a00001102	36480
a00001103	36481
a00001104	36482
a00001105	36483
a00001106	36484
a00001107	36485
a00001108	36486
a00001109	36487
a00001110	36488
a00001111	36489
a00001112	36490
a00001113	36491
a00001114	36492
a00001115	36493
a00001116	36494
a00001117	36495
a00001118	36496
a00001119	36497
a00001120	36498
a00001121	36499
a00001122	36500
a00001123	36501
a00001124	36502
a00001125	36503
a00001126	36504
a00001127	36505
a00001128	36506
a00001129	36507
a00001130	36508
a00001131	36509
a00001132	36510
a00001133	36511
a00001134	36512
a00001135	36513
a00001136	36514
a00001137	36515
a00001138	36516
a00001139	36517
a00001140	36518
a00001141	36519
a00001142	36520
a00001143	36521
a00001144	36522
a00001145	36523
a00001146	36524
a00001147	36525
a00001148	36526
a00001149	36527
a00001150	36528
a00001151	36529
a00001152	36530
a00001153	36531
a00001154	36532
a00001155	36533
a00001156	36534
a00001157	36535
a00001158	36536
a00001159	36537
a00001160	36538
a00001161	36539
a00001162	36540
a00001163	36541
a00001164	36542
a00001165	36543
a00001166	36544
a00001167	36545
a00001168	36546
a00001169	36547
a00001170	36548
a00001171	36549
a00001172	36550
a00001173	36551
a00001174	36552
a00001175	36553
a00001176	36554
a00001177	36555
a00001178	36556
a00001179	36557
a00001180	36558
a00001181	36559
a00001182	36560
a00001183	36561
a00001184	36562
a00001185	36563
a00001186	36564
a00001187	36565
a00001188	36566
a00001189	36567
a00001190	36568
a00001191	36569
a00001192	36570
a00001193	36571
a00001194	36572
a00001195	36573
a00001196	36574
a00001197	36575
a00001198	36576
a00001199	36577
a00001200	36578
a00001201	36579
a00001202	36580
a00001203	36581
a00001204	36582
a00001205	36583
a00001206	36584
a00001207	36585
a00001208	36586
a00001209	36587
a00001210	36588
a00001211	36589
a00001212	36590
a00001213	36591
a00001214	36592
a00001215	36593
a00001216	36594
a00001217	36595
a00001218	36596
a00001219	36597
a00001220	36598
a00001221	36599
a00001222	36600
a00001223	36601
a00001224	36602
a00001225	36603
a00001226	36604
a00001227	36605
a00001228	36606
a00001229	36607
a00001230	36608
a00001231	36609
a00001232	36610
a00001233	36611
a00001234	36612
a00001235	36613
a00001236	36614
a00001237	36615
a00001238	36616
a00001239	36617
a00001240	36618
a00001241	36619
a00001242	36620
a00001243	36621
a00001244	36622
a00001245	36623
a00001246	36624
a00001247	36625
a00001248	36626
a00001249	36627
a00001250	36628
a00001251	36629
a00001252	36630
a00001253	36631
a00001254	36632
a00001255	36633
a00001256	36634
a00001257	36635
a00001258	36636
a00001259	36637
a00001260	36638
a00001261	36639
a00001262	36640
a00001263	36641
a00001264	36642
a00001265	36643
a00001266	36644
a00001267	36645
a00001268	36646
a00001269	36647
a00001270	36648
a00001271	36649
a00001272	36650
a00001273	36651
a00001274	36652
a00001275	36653
a00001276	36654
a00001277	36655
a00001278	36656
a00001279	36657
a00001280	36658
a00001281	36659
a00001282	36660
a00001283	36661
a00001284	36662
a00001285	36663
a00001286	36664
a00001287	36665
a00001288	36666
a00001289	36667
a00001290	36668
a00001291	36669
a00001292	36670
a00001293	36671
a00001294	36672
a00001295	36673
a00001296	36674
a00001297	36675
a00001298	36676
a00001299	36677
a00001300	36678
a00001301	36679
a00001302	36680
a00001303	36681
a00001304	36682
a00001305	36683
a00001306	36684
a00001307	36685
a00001308	36686
a00001309	36687
a00001310	36688
a00001311	36689
a00001312	36690
a00001313	36691
a00001314	36692
a00001315	36693
a00001316	36694
a00001317	36695
a00001318	36696
a00001319	36697
a00001320	36698
a00001321	36699
a00001322	36700
a00001323	36701
a00001324	36702
a00001325	36703
a00001326	36704
a00001327	36705
a00001328	36706
a00001329	36707
a00001330	36708
a00001331	36709
a00001332	36710
a00001333	36711
a00001334	36712
a00001335	36713
a00001336	36714
a00001337	36715
a00001338	36716
a00001339	36717
a00001340	36718
a00001341	36719
a00001342	36720
a00001343	36721
a00001344	36722
a00001345	36723
a00001346	36724
a00001347	36725
a00001348	36726
a00001349	36727
a00001350	36728
a00001351	36729
a00001352	36730
a00001353	36731
a00001354	36732
a00001355	36733
a00001356	36734
a00001357	36735
a00001358	36736
a00001359	36737
a00001360	36738
a00001361	36739
a00001362	36740
a00001363	36741
a00001364	36742
a00001365	36743
a00001366	36744
a00001367	36745
a00001368	36746
a00001369	36747
a00001370	36748
a00001371	36749
a00001372	36750
a00001373	36751
a00001374	36752
a00001375	36753
a00001376	36754
a00001377	36755
a00001378	36756
a00001379	36757
a00001380	36758
a00001381	36759
a00001382	36760
a00001383	36761
a00001384	36762
a00001385	36763
a00001386	36764
a00001387	36765
a00001388	36766
a00001389	36767
a00001390	36768
a00001391	36769
a00001392	36770
a00001393	36771
a00001394	36772
a00001395	36773
a00001396	36774
a00001397	36775
a00001398	36776
a00001399	36777
a00001400	36778
a00001401	36779
a00001402	36780
a00001403	36781
a00001404	36782
a00001405	36783
a00001406	36784
a00001407	36785
a00001408	36786
a00001409	36787
a00001410	36788
a00001411	36789
a00001412	36790
a00001413	36791
a00001414	36792
a00001415	36793
a00001416	36794
a00001417	36795
a00001418	36796
a00001419	36797
a00001420	36798
a00001421	36799
a00001422	36800
a00001423	36801
a00001424	36802
a00001425	36803
a00001426	36804
a00001427	36805
a00001428	36806
a00001429	36807
a00001430	36808
a00001431	36809
a00001432	36810
a00001433	36811
a00001434	36812
a00001435	36813
a00001436	36814
a00001437	36815
a00001438	36816
a00001439	36817
a00001440	36818
a00001441	36819
a00001442	36820
a00001443	36821
a00001444	36822
a00001445	36823
a00001446	36824
a00001447	36825
a00001448	36826
a00001449	36827
a00001450	36828
a00001451	36829
a00001452	36830
a00001453	36831
a00001454	36832
a00001455	36833
a00001456	36834
a00001457	36835
a00001458	36836
a00001459	36837
a00001460	36838
a00001461	36839
a00001462	36840
a00001463	36841
a00001464	36842
a00001465	36843
a00001466	36844
a00001467	36845
a00001468	36846
a00001469	36847
a00001470	36848
a00001471	36849
a00001472	36850
a00001473	36851
a00001474	36852
a00001475	36853
a00001476	36854
a00001477	36855
a00001478	36856
a00001479	36857
a00001480	36858
a00001481	36859
a00001482	36860
a00001483	36861
a00001484	36862
a00001485	36863
a00001486	36864
a00001487	36865
a00001488	36866
a00001489	36867
a00001490	36868
a00001491	36869
a00001492	36870
a00001493	36871
a00001494	36872
a00001495	36873
a00001496	36874
a00001497	36875
a00001498	36876
a00001499	36877
a00001500	36878
a00001501	36879
a00001502	36880
a00001503	36881
a00001504	36882
a00001505	36883
a00001506	36884
a00001507	36885
a00001508	36886
a00001509	36887
a00001510	36888
a00001511	36889
a00001512	36890
a00001513	36891
a00001514	36892
a00001515	36893
a00001516	36894
a00001517	36895
a00001518	36896
a00001519	36897
a00001520	36898
a00001521	36899
a00001522	36900
a00001523	36901
a00001524	36902
a00001525	36903
a00001526	36904
a00001527	36905
a00001528	36906
a00001529	36907
a00001530	36908
a00001531	36909
a00001532	36910
a00001533	36911
a00001534	36912
a00001535	36913
a00001536	36914
a00001537	36915
a00001538	36916
a00001539	36917
a00001540	36918
a00001541	36919
a00001542	36920
a00001543	36921
a00001544	36922
a00001545	36923
a00001546	36924
a00001547	36925
a00001548	36926
a00001549	36927
a00001550	36928
a00001551	36929
a00001552	36930
a00001553	36931
a00001554	36932
a00001555	36933
a00001556	36934
a00001557	36935
a00001558	36936
a00001559	36937
a00001560	36938
a00001561	36939
a00001562	36940
a00001563	36941
a00001564	36942
a00001565	36943
a00001566	36944
a00001567	36945
a00001568	36946
a00001569	36947
a00001570	36948
a00001571	36949
a00001572	36950
a00001573	36951
a00001574	36952
a00001575	36953
a00001576	36954
a00001577	36955
a00001578	36956
a00001579	36957
a00001580	36958
a00001581	36959
a00001582	36960
a00001583	36961
a00001584	36962
a00001585	36963
a00001586	36964
a00001587	36965
a00001588	36966
a00001589	36967
a00001590	36968
a00001591	36969
a00001592	36970
a00001593	36971
a00001594	36972
a00001595	36973
a00001596	36974
a00001597	36975
a00001598	36976
a00001599	36977
a00001600	36978
a00001601	36979
a00001602	36980
a00001603	36981
a00001604	36982
a00001605	36983
a00001606	36984
a00001607	36985
a00001608	36986
a00001609	36987
a00001610	36988
a00001611	36989
a00001612	36990
a00001613	36991
a00001614	36992
a00001615	36993
a00001616	36994
a00001617	36995
a00001618	36996
a00001619	36997
a00001620	36998
a00001621	36999
a00001622	37000
a00001623	37001
a00001624	37002
a00001625	37003
