annotation	node
a00000000	33598
a00000420	33599
a00000421	33600
a00000422	33601
a00000423	33602
a00000424	33603
a00000425	33604
a00000426	33605
a00000427	33606
a00000428	33607
a00000429	33608
a00000430	33609
a00000431	33610
a00000432	33611
a00000433	33612
a00000434	33613
a00000435	33614
a00000436	33615
a00000437	33616
a00000438	33617
a00000439	33618
a00000440	33619
a00000441	33620
a00000442	33621
a00000443	33622
a00000444	33623
a00000445	33624
a00000446	33625
a00000447	33626
a00000448	33627
a00000449	33628
a00000450	33629
a00000451	33630
a00000452	33631
a00000453	33632
a00000454	33633
a00000455	33634
a00000456	33635
a00000457	33636
a00000458	33637
a00000459	33638
a00000460	33639
a00000461	33640
a00000462	33641
a00000463	33642
a00000464	33643
a00000465	33644
a00000466	33645
a00000467	33646
a00000468	33647
a00000469	33648
a00000470	33649
a00000471	33650
a00000472	33651
a00000473	33652
a00000474	33653
a00000475	33654
a00000476	33655
a00000477	33656
a00000478	33657
a00000479	33658
a00000480	33659
a00000481	33660
a00000482	33661
a00000483	33662
a00000484	33663
a00000485	33664
a00000486	33665
a00000487	33666
a00000488	33667
a00000489	33668
a00000490	33669
a00000491	33670
a00000492	33671
a00000493	33672
a00000494	33673
a00000495	33674
a00000496	33675
a00000497	33676
a00000498	33677
a00000499	33678
a00000500	33679
a00000501	33680
a00000502	33681
a00000503	33682
a00000504	33683
a00000505	33684
a00000506	33685
a00000507	33686
a00000508	33687
a00000509	33688
a00000510	33689
a00000511	33690
a00000512	33691
a00000513	33692
a00000514	33693
a00000515	33694
a00000516	33695
a00000517	33696
a00000518	33697
a00000519	33698
a00000520	33699
a00000521	33700
a00000522	33701
a00000523	33702
a00000524	33703
a00000525	33704
a00000526	33705
a00000527	33706
a00000528	33707
a00000529	33708
a00000530	33709
a00000531	33710
a00000532	33711
a00000533	33712
a00000534	33713
a00000535	33714
a00000536	33715
a00000537	33716
a00000538	33717
a00000539	33718
a00000540	33719
a00000541	33720
a00000542	33721
a00000543	33722
a00000544	33723
a00000545	33724
a00000546	33725
a00000547	33726
a00000548	33727
a00000549	33728
a00000550	33729
a00000551	33730
a00000552	33731
a00000553	33732
a00000554	33733
a00000555	33734
a00000556	33735
a00000557	33736
a00000558	33737
a00000559	33738
a00000560	33739
a00000561	33740
a00000562	33741
a00000563	33742
a00000564	33743
a00000565	33744
a00000566	33745
a00000567	33746
a00000568	33747
a00000569	33748
a00000570	33749
a00000571	33750
a00000572	33751
a00000573	33752
a00000574	33753
a00000575	33754
a00000576	33755
a00000577	33756
a00000578	33757
a00000579	33758
a00000580	33759
a00000581	33760
a00000582	33761
a00000583	33762
a00000584	33763
a00000585	33764
a00000586	33765
a00000587	33766
a00000588	33767
a00000589	33768
a00000590	33769
a00000591	33770
a00000592	33771
a00000593	33772
a00000594	33773
a00000595	33774
a00000596	33775
a00000597	33776
a00000598	33777
a00000599	33778
a00000600	33779
a00000601	33780
a00000602	33781
a00000603	33782
a00000604	33783
a00000605	33784
a00000606	33785
a00000607	33786
a00000608	33787
a00000609	33788
a00000610	33789
a00000611	33790
a00000612	33791
a00000613	33792
a00000614	33793
a00000615	33794
a00000616	33795
a00000617	33796
a00000618	33797
a00000619	33798
a00000620	33799
a00000621	33800
a00000622	33801
a00000623	33802
a00000624	33803
a00000625	33804
a00000626	33805
a00000627	33806
a00000628	33807
a00000629	33808
a00000630	33809
a00000631	33810
a00000632	33811
a00000633	33812
a00000634	33813
a00000635	33814
a00000636	33815
a00000637	33816
a00000638	33817
a00000639	33818
a00000640	33819
a00000641	33820
a00000642	33821
a00000643	33822
a00000644	33823
a00000645	33824
a00000646	33825
a00000647	33826
a00000648	33827
a00000649	33828
a00000650	33829
a00000651	33830
a00000652	33831
a00000653	33832
a00000654	33833
a00000655	33834
a00000656	33835
a00000657	33836
a00000658	33837
a00000659	33838
a00000660	33839
a00000661	33840
a00000662	33841
a00000663	33842
a00000664	33843
a00000665	33844
a00000666	33845
a00000667	33846
a00000668	33847
a00000669	33848
a00000670	33849
a00000671	33850
a00000672	33851
a00000673	33852
a00000674	33853
a00000675	33854
a00000676	33855
a00000677	33856
a00000678	33857
a00000679	33858
a00000680	33859
a00000681	33860
a00000682	33861
a00000683	33862
a00000684	33863
a00000685	33864
a00000686	33865
a00000687	33866
a00000688	33867
a00000689	33868
a00000690	33869
a00000691	33870
a00000692	33871
a00000693	33872
a00000694	33873
a00000695	33874
a00000696	33875
a00000697	33876
a00000698	33877
a00000699	33878
a00000700	33879
a00000701	33880
a00000702	33881
a00000703	33882
a00000704	33883
a00000705	33884
a00000706	33885
a00000707	33886
a00000708	33887
a00000709	33888
a00000710	33889
a00000711	33890
a00000712	33891
a00000713	33892
a00000714	33893
a00000715	33894
a00000716	33895
a00000717	33896
a00000718	33897
a00000719	33898
a00000720	33899
a00000721	33900
a00000722	33901
a00000723	33902
a00000724	33903
a00000725	33904
a00000726	33905
a00000727	33906
a00000728	33907
a00000729	33908
a00000730	33909
a00000731	33910
a00000732	33911
a00000733	33912
a00000734	33913
a00000735	33914
a00000736	33915
a00000737	33916
a00000738	33917
a00000739	33918
a00000740	33919
a00000741	33920
a00000742	33921
a00000743	33922
a00000744	33923
a00000745	33924
a00000746	33925
a00000747	33926
a00000748	33927
a00000749	33928
a00000750	33929
a00000751	33930
a00000752	33931
a00000753	33932
a00000754	33933
a00000755	33934
a00000756	33935
a00000757	33936
a00000758	33937
a00000759	33938
a00000760	33939
a00000761	33940
a00000762	33941
a00000763	33942
a00000764	33943
a00000765	33944
a00000766	33945
a00000767	33946
a00000768	33947
a00000769	33948
a00000770	33949
a00000771	33950
a00000772	33951
a00000773	33952
a00000774	33953
a00000775	33954
a00000776	33955
a00000777	33956
a00000778	33957
a00000779	33958
a00000780	33959
a00000781	33960
a00000782	33961
a00000783	33962
a00000784	33963
a00000785	33964
a00000786	33965
a00000787	33966
a00000788	33967
a00000789	33968
a00000790	33969
a00000791	33970
a00000792	33971
a00000793	33972
a00000794	33973
a00000795	33974
a00000796	33975
a00000797	33976
a00000798	33977
a00000799	33978
a00000800	33979
a00000801	33980
a00000802	33981
a00000803	33982
a00000804	33983
a00000805	33984
a00000806	33985
a00000807	33986
a00000808	33987
a00000809	33988
a00000810	33989
a00000811	33990
a00000812	33991
a00000813	33992
a00000814	33993
a00000815	33994
a00000816	33995
a00000817	33996
a00000818	33997
a00000819	33998
a00000820	33999
a00000821	34000
a00000822	34001
a00000823	34002
a00000824	34003
a00000825	34004
a00000826	34005
a00000827	34006
a00000828	34007
a00000829	34008
a00000830	34009
a00000831	34010
a00000832	34011
a00000833	34012
a00000834	34013
a00000835	34014
a00000836	34015
a00000837	34016
a00000838	34017
a00000839	34018
a00000840	34019
a00000841	34020
a00000842	34021
a00000843	34022
a00000844	34023
a00000845	34024
a00000846	34025
a00000847	34026
a00000848	34027
a00000849	34028
a00000850	34029
a00000851	34030
a00000852	34031
a00000853	34032
a00000854	34033
a00000855	34034
a00000856	34035
a00000857	34036
a00000858	34037
a00000859	34038
a00000860	34039
a00000861	34040
a00000862	34041
a00000863	34042
a00000864	34043
a00000865	34044
a00000866	34045
a00000867	34046
a00000868	34047
a00000869	34048
a00000870	34049
a00000871	34050
a00000872	34051
a00000873	34052
a00000874	34053
a00000875	34054
