annotation	node
a00000000	31224
a00000522	31225
a00000523	31226
a00000524	31227
a00000525	31228
a00000526	31229
a00000527	31230
a00000528	31231
a00000529	31232
a00000530	31233
a00000531	31234
a00000532	31235
a00000533	31236
a00000534	31237
a00000535	31238
a00000536	31239
a00000537	31240
a00000538	31241
a00000539	31242
a00000540	31243
a00000541	31244
a00000542	31245
a00000543	31246
a00000544	31247
a00000545	31248
a00000546	31249
a00000547	31250
a00000548	31251
a00000549	31252
a00000550	31253
a00000551	31254
a00000552	31255
a00000553	31256
a00000554	31257
a00000555	31258
a00000556	31259
a00000557	31260
a00000558	31261
a00000559	31262
a00000560	31263
a00000561	31264
a00000562	31265
a00000563	31266
a00000564	31267
a00000565	31268
a00000566	31269
a00000567	31270
a00000568	31271
a00000569	31272
a00000570	31273
a00000571	31274
a00000572	31275
a00000573	31276
a00000574	31277
a00000575	31278
a00000576	31279
a00000577	31280
a00000578	31281
a00000579	31282
a00000580	31283
a00000581	31284
a00000582	31285
a00000583	31286
a00000584	31287
a00000585	31288
a00000586	31289
a00000587	31290
a00000588	31291
a00000589	31292
a00000590	31293
a00000591	31294
a00000592	31295
a00000593	31296
a00000594	31297
a00000595	31298
a00000596	31299
a00000597	31300
a00000598	31301
a00000599	31302
a00000600	31303
a00000601	31304
a00000602	31305
a00000603	31306
a00000604	31307
a00000605	31308
a00000606	31309
a00000607	31310
a00000608	31311
a00000609	31312
a00000610	31313
a00000611	31314
a00000612	31315
a00000613	31316
a00000614	31317
a00000615	31318
a00000616	31319
a00000617	31320
a00000618	31321
a00000619	31322
a00000620	31323
a00000621	31324
a00000622	31325
a00000623	31326
a00000624	31327
a00000625	31328
a00000626	31329
a00000627	31330
a00000628	31331
a00000629	31332
a00000630	31333
a00000631	31334
a00000632	31335
a00000633	31336
a00000634	31337
a00000635	31338
a00000636	31339
a00000637	31340
a00000638	31341
a00000639	31342
a00000640	31343
a00000641	31344
a00000642	31345
a00000643	31346
a00000644	31347
a00000645	31348
a00000646	31349
a00000647	31350
a00000648	31351
a00000649	31352
a00000650	31353
a00000651	31354
a00000652	31355
a00000653	31356
a00000654	31357
a00000655	31358
a00000656	31359
a00000657	31360
a00000658	31361
a00000659	31362
a00000660	31363
a00000661	31364
a00000662	31365
a00000663	31366
a00000664	31367
a00000665	31368
a00000666	31369
a00000667	31370
a00000668	31371
a00000669	31372
a00000670	31373
a00000671	31374
a00000672	31375
a00000673	31376
a00000674	31377
a00000675	31378
a00000676	31379
a00000677	31380
a00000678	31381
a00000679	31382
a00000680	31383
a00000681	31384
a00000682	31385
a00000683	31386
a00000684	31387
a00000685	31388
a00000686	31389
a00000687	31390
a00000688	31391
a00000689	31392
a00000690	31393
a00000691	31394
a00000692	31395
a00000693	31396
a00000694	31397
a00000695	31398
a00000696	31399
a00000697	31400
a00000698	31401
a00000699	31402
a00000700	31403
a00000701	31404
a00000702	31405
a00000703	31406
a00000704	31407
a00000705	31408
a00000706	31409
a00000707	31410
a00000708	31411
a00000709	31412
a00000710	31413
a00000711	31414
a00000712	31415
a00000713	31416
a00000714	31417
a00000715	31418
a00000716	31419
a00000717	31420
a00000718	31421
a00000719	31422
a00000720	31423
a00000721	31424
a00000722	31425
a00000723	31426
a00000724	31427
a00000725	31428
a00000726	31429
a00000727	31430
a00000728	31431
a00000729	31432
a00000730	31433
a00000731	31434
a00000732	31435
a00000733	31436
a00000734	31437
a00000735	31438
a00000736	31439
a00000737	31440
a00000738	31441
a00000739	31442
a00000740	31443
a00000741	31444
a00000742	31445
a00000743	31446
a00000744	31447
a00000745	31448
a00000746	31449
a00000747	31450
a00000748	31451
a00000749	31452
a00000750	31453
a00000751	31454
a00000752	31455
a00000753	31456
a00000754	31457
a00000755	31458
a00000756	31459
a00000757	31460
a00000758	31461
a00000759	31462
a00000760	31463
a00000761	31464
a00000762	31465
a00000763	31466
a00000764	31467
a00000765	31468
a00000766	31469
a00000767	31470
a00000768	31471
a00000769	31472
a00000770	31473
a00000771	31474
a00000772	31475
a00000773	31476
a00000774	31477
a00000775	31478
a00000776	31479
a00000777	31480
a00000778	31481
a00000779	31482
a00000780	31483
a00000781	31484
a00000782	31485
a00000783	31486
a00000784	31487
a00000785	31488
a00000786	31489
a00000787	31490
a00000788	31491
a00000789	31492
a00000790	31493
a00000791	31494
a00000792	31495
a00000793	31496
a00000794	31497
a00000795	31498
a00000796	31499
a00000797	31500
a00000798	31501
a00000799	31502
a00000800	31503
a00000801	31504
a00000802	31505
a00000803	31506
a00000804	31507
a00000805	31508
a00000806	31509
a00000807	31510
a00000808	31511
a00000809	31512
a00000810	31513
a00000811	31514
a00000812	31515
a00000813	31516
a00000814	31517
a00000815	31518
a00000816	31519
a00000817	31520
a00000818	31521
a00000819	31522
a00000820	31523
a00000821	31524
a00000822	31525
a00000823	31526
a00000824	31527
a00000825	31528
a00000826	31529
a00000827	31530
a00000828	31531
a00000829	31532
a00000830	31533
a00000831	31534
a00000832	31535
a00000833	31536
a00000834	31537
a00000835	31538
a00000836	31539
a00000837	31540
a00000838	31541
a00000839	31542
a00000840	31543
a00000841	31544
a00000842	31545
a00000843	31546
a00000844	31547
a00000845	31548
a00000846	31549
a00000847	31550
a00000848	31551
a00000849	31552
a00000850	31553
a00000851	31554
a00000852	31555
a00000853	31556
a00000854	31557
a00000855	31558
a00000856	31559
a00000857	31560
a00000858	31561
a00000859	31562
a00000860	31563
a00000861	31564
a00000862	31565
a00000863	31566
a00000864	31567
a00000865	31568
a00000866	31569
a00000867	31570
a00000868	31571
a00000869	31572
a00000870	31573
a00000871	31574
a00000872	31575
a00000873	31576
a00000874	31577
a00000875	31578
a00000876	31579
a00000877	31580
a00000878	31581
a00000879	31582
a00000880	31583
a00000881	31584
a00000882	31585
a00000883	31586
a00000884	31587
a00000885	31588
a00000886	31589
a00000887	31590
a00000888	31591
a00000889	31592
a00000890	31593
a00000891	31594
a00000892	31595
a00000893	31596
a00000894	31597
a00000895	31598
a00000896	31599
a00000897	31600
a00000898	31601
a00000899	31602
a00000900	31603
a00000901	31604
a00000902	31605
a00000903	31606
a00000904	31607
a00000905	31608
a00000906	31609
a00000907	31610
a00000908	31611
a00000909	31612
a00000910	31613
a00000911	31614
a00000912	31615
a00000913	31616
a00000914	31617
a00000915	31618
a00000916	31619
a00000917	31620
a00000918	31621
a00000919	31622
a00000920	31623
a00000921	31624
a00000922	31625
a00000923	31626
a00000924	31627
a00000925	31628
a00000926	31629
a00000927	31630
a00000928	31631
a00000929	31632
a00000930	31633
a00000931	31634
a00000932	31635
a00000933	31636
a00000934	31637
a00000935	31638
a00000936	31639
a00000937	31640
a00000938	31641
a00000939	31642
a00000940	31643
a00000941	31644
a00000942	31645
a00000943	31646
a00000944	31647
a00000945	31648
a00000946	31649
a00000947	31650
a00000948	31651
a00000949	31652
a00000950	31653
a00000951	31654
a00000952	31655
a00000953	31656
a00000954	31657
a00000955	31658
a00000956	31659
a00000957	31660
a00000958	31661
a00000959	31662
a00000960	31663
a00000961	31664
a00000962	31665
a00000963	31666
a00000964	31667
a00000965	31668
a00000966	31669
a00000967	31670
a00000968	31671
a00000969	31672
a00000970	31673
a00000971	31674
a00000972	31675
a00000973	31676
a00000974	31677
a00000975	31678
a00000976	31679
a00000977	31680
a00000978	31681
a00000979	31682
a00000980	31683
a00000981	31684
a00000982	31685
a00000983	31686
a00000984	31687
a00000985	31688
a00000986	31689
a00000987	31690
a00000988	31691
a00000989	31692
a00000990	31693
a00000991	31694
a00000992	31695
a00000993	31696
a00000994	31697
a00000995	31698
a00000996	31699
a00000997	31700
a00000998	31701
a00000999	31702
a00001000	31703
a00001001	31704
a00001002	31705
a00001003	31706
a00001004	31707
a00001005	31708
a00001006	31709
a00001007	31710
a00001008	31711
a00001009	31712
a00001010	31713
a00001011	31714
a00001012	31715
a00001013	31716
a00001014	31717
a00001015	31718
a00001016	31719
a00001017	31720
a00001018	31721
a00001019	31722
a00001020	31723
a00001021	31724
a00001022	31725
a00001023	31726
a00001024	31727
a00001025	31728
a00001026	31729
a00001027	31730
a00001028	31731
a00001029	31732
a00001030	31733
a00001031	31734
a00001032	31735
a00001033	31736
a00001034	31737
a00001035	31738
a00001036	31739
a00001037	31740
a00001038	31741
a00001039	31742
a00001040	31743
a00001041	31744
a00001042	31745
a00001043	31746
a00001044	31747
a00001045	31748
a00001046	31749
a00001047	31750
a00001048	31751
a00001049	31752
a00001050	31753
a00001051	31754
a00001052	31755
a00001053	31756
a00001054	31757
a00001055	31758
a00001056	31759
a00001057	31760
a00001058	31761
a00001059	31762
a00001060	31763
a00001061	31764
a00001062	31765
a00001063	31766
a00001064	31767
a00001065	31768
a00001066	31769
a00001067	31770
a00001068	31771
a00001069	31772
a00001070	31773
a00001071	31774
a00001072	31775
a00001073	31776
a00001074	31777
a00001075	31778
a00001076	31779
a00001077	31780
a00001078	31781
a00001079	31782
a00001080	31783
a00001081	31784
a00001082	31785
a00001083	31786
a00001084	31787
a00001085	31788
a00001086	31789
a00001087	31790
a00001088	31791
a00001089	31792
a00001090	31793
a00001091	31794
a00001092	31795
a00001093	31796
a00001094	31797
a00001095	31798
a00001096	31799
a00001097	31800
a00001098	31801
a00001099	31802
a00001100	31803
a00001101	31804
a00001102	31805
a00001103	31806
a00001104	31807
a00001105	31808
a00001106	31809
a00001107	31810
a00001108	31811
a00001109	31812
a00001110	31813
a00001111	31814
a00001112	31815
a00001113	31816
a00001114	31817
a00001115	31818
a00001116	31819
a00001117	31820
a00001118	31821
a00001119	31822
a00001120	31823
a00001121	31824
a00001122	31825
a00001123	31826
a00001124	31827
a00001125	31828
a00001126	31829
a00001127	31830
a00001128	31831
a00001129	31832
a00001130	31833
a00001131	31834
a00001132	31835
a00001133	31836
a00001134	31837
a00001135	31838
a00001136	31839
a00001137	31840
a00001138	31841
a00001139	31842
a00001140	31843
a00001141	31844
a00001142	31845
a00001143	31846
a00001144	31847
a00001145	31848
a00001146	31849
a00001147	31850
a00001148	31851
a00001149	31852
a00001150	31853
a00001151	31854
a00001152	31855
a00001153	31856
a00001154	31857
a00001155	31858
a00001156	31859
a00001157	31860
a00001158	31861
a00001159	31862
a00001160	31863
a00001161	31864
a00001162	31865
a00001163	31866
a00001164	31867
a00001165	31868
a00001166	31869
a00001167	31870
a00001168	31871
a00001169	31872
a00001170	31873
a00001171	31874
a00001172	31875
a00001173	31876
a00001174	31877
a00001175	31878
a00001176	31879
a00001177	31880
a00001178	31881
a00001179	31882
a00001180	31883
a00001181	31884
a00001182	31885
a00001183	31886
a00001184	31887
a00001185	31888
a00001186	31889
a00001187	31890
a00001188	31891
a00001189	31892
a00001190	31893
a00001191	31894
a00001192	31895
a00001193	31896
a00001194	31897
a00001195	31898
a00001196	31899
a00001197	31900
a00001198	31901
a00001199	31902
a00001200	31903
a00001201	31904
a00001202	31905
a00001203	31906
a00001204	31907
a00001205	31908
a00001206	31909
a00001207	31910
a00001208	31911
a00001209	31912
a00001210	31913
a00001211	31914
a00001212	31915
a00001213	31916
a00001214	31917
a00001215	31918
a00001216	31919
a00001217	31920
a00001218	31921
a00001219	31922
a00001220	31923
a00001221	31924
a00001222	31925
a00001223	31926
a00001224	31927
a00001225	31928
a00001226	31929
a00001227	31930
a00001228	31931
a00001229	31932
a00001230	31933
a00001231	31934
a00001232	31935
a00001233	31936
a00001234	31937
a00001235	31938
a00001236	31939
a00001237	31940
a00001238	31941
a00001239	31942
a00001240	31943
a00001241	31944
a00001242	31945
a00001243	31946
a00001244	31947
a00001245	31948
a00001246	31949
a00001247	31950
a00001248	31951
a00001249	31952
a00001250	31953
a00001251	31954
a00001252	31955
a00001253	31956
a00001254	31957
a00001255	31958
a00001256	31959
a00001257	31960
a00001258	31961
a00001259	31962
a00001260	31963
a00001261	31964
a00001262	31965
a00001263	31966
a00001264	31967
a00001265	31968
a00001266	31969
a00001267	31970
a00001268	31971
a00001269	31972
a00001270	31973
a00001271	31974
a00001272	31975
a00001273	31976
a00001274	31977
a00001275	31978
a00001276	31979
a00001277	31980
a00001278	31981
a00001279	31982
a00001280	31983
a00001281	31984
a00001282	31985
a00001283	31986
a00001284	31987
a00001285	31988
a00001286	31989
a00001287	31990
a00001288	31991
a00001289	31992
a00001290	31993
a00001291	31994
a00001292	31995
a00001293	31996
a00001294	31997
a00001295	31998
a00001296	31999
a00001297	32000
a00001298	32001
a00001299	32002
a00001300	32003
a00001301	32004
a00001302	32005
a00001303	32006
a00001304	32007
a00001305	32008
a00001306	32009
a00001307	32010
a00001308	32011
a00001309	32012
a00001310	32013
a00001311	32014
a00001312	32015
a00001313	32016
a00001314	32017
a00001315	32018
a00001316	32019
a00001317	32020
a00001318	32021
a00001319	32022
a00001320	32023
a00001321	32024
a00001322	32025
a00001323	32026
a00001324	32027
a00001325	32028
a00001326	32029
a00001327	32030
a00001328	32031
a00001329	32032
a00001330	32033
a00001331	32034
a00001332	32035
a00001333	32036
a00001334	32037
a00001335	32038
a00001336	32039
a00001337	32040
a00001338	32041
a00001339	32042
a00001340	32043
a00001341	32044
a00001342	32045
a00001343	32046
a00001344	32047
a00001345	32048
a00001346	32049
a00001347	32050
a00001348	32051
a00001349	32052
a00001350	32053
a00001351	32054
a00001352	32055
a00001353	32056
a00001354	32057
a00001355	32058
a00001356	32059
a00001357	32060
a00001358	32061
a00001359	32062
a00001360	32063
a00001361	32064
a00001362	32065
a00001363	32066
a00001364	32067
a00001365	32068
a00001366	32069
a00001367	32070
a00001368	32071
a00001369	32072
a00001370	32073
a00001371	32074
a00001372	32075
a00001373	32076
a00001374	32077
a00001375	32078
a00001376	32079
a00001377	32080
a00001378	32081
a00001379	32082
a00001380	32083
a00001381	32084
a00001382	32085
a00001383	32086
a00001384	32087
a00001385	32088
a00001386	32089
a00001387	32090
a00001388	32091
a00001389	32092
a00001390	32093
a00001391	32094
a00001392	32095
a00001393	32096
a00001394	32097
a00001395	32098
a00001396	32099
a00001397	32100
a00001398	32101
a00001399	32102
a00001400	32103
a00001401	32104
a00001402	32105
a00001403	32106
a00001404	32107
a00001405	32108
a00001406	32109
a00001407	32110
a00001408	32111
a00001409	32112
a00001410	32113
a00001411	32114
a00001412	32115
a00001413	32116
a00001414	32117
a00001415	32118
a00001416	32119
a00001417	32120
a00001418	32121
a00001419	32122
a00001420	32123
a00001421	32124
a00001422	32125
a00001423	32126
a00001424	32127
a00001425	32128
a00001426	32129
a00001427	32130
a00001428	32131
a00001429	32132
a00001430	32133
a00001431	32134
a00001432	32135
a00001433	32136
a00001434	32137
a00001435	32138
a00001436	32139
a00001437	32140
a00001438	32141
a00001439	32142
a00001440	32143
a00001441	32144
a00001442	32145
a00001443	32146
a00001444	32147
a00001445	32148
a00001446	32149
a00001447	32150
a00001448	32151
a00001449	32152
a00001450	32153
a00001451	32154
a00001452	32155
a00001453	32156
a00001454	32157
a00001455	32158
a00001456	32159
a00001457	32160
a00001458	32161
a00001459	32162
a00001460	32163
a00001461	32164
a00001462	32165
a00001463	32166
a00001464	32167
a00001465	32168
a00001466	32169
a00001467	32170
a00001468	32171
a00001469	32172
a00001470	32173
a00001471	32174
a00001472	32175
a00001473	32176
a00001474	32177
a00001475	32178
a00001476	32179
a00001477	32180
a00001478	32181
a00001479	32182
a00001480	32183
a00001481	32184
a00001482	32185
a00001483	32186
a00001484	32187
a00001485	32188
a00001486	32189
a00001487	32190
a00001488	32191
a00001489	32192
a00001490	32193
a00001491	32194
a00001492	32195
a00001493	32196
a00001494	32197
a00001495	32198
a00001496	32199
a00001497	32200
a00001498	32201
a00001499	32202
a00001500	32203
a00001501	32204
a00001502	32205
a00001503	32206
a00001504	32207
a00001505	32208
a00001506	32209
a00001507	32210
a00001508	32211
a00001509	32212
a00001510	32213
a00001511	32214
a00001512	32215
a00001513	32216
a00001514	32217
a00001515	32218
a00001516	32219
a00001517	32220
a00001518	32221
a00001519	32222
a00001520	32223
a00001521	32224
a00001522	32225
a00001523	32226
a00001524	32227
a00001525	32228
a00001526	32229
a00001527	32230
a00001528	32231
a00001529	32232
a00001530	32233
a00001531	32234
a00001532	32235
a00001533	32236
a00001534	32237
a00001535	32238
a00001536	32239
a00001537	32240
a00001538	32241
a00001539	32242
a00001540	32243
a00001541	32244
a00001542	32245
a00001543	32246
a00001544	32247
a00001545	32248
a00001546	32249
a00001547	32250
a00001548	32251
a00001549	32252
a00001550	32253
a00001551	32254
a00001552	32255
a00001553	32256
a00001554	32257
a00001555	32258
a00001556	32259
a00001557	32260
a00001558	32261
a00001559	32262
a00001560	32263
a00001561	32264
a00001562	32265
a00001563	32266
a00001564	32267
a00001565	32268
a00001566	32269
a00001567	32270
a00001568	32271
a00001569	32272
a00001570	32273
a00001571	32274
a00001572	32275
a00001573	32276
a00001574	32277
a00001575	32278
a00001576	32279
a00001577	32280
a00001578	32281
a00001579	32282
a00001580	32283
a00001581	32284
a00001582	32285
a00001583	32286
a00001584	32287
a00001585	32288
a00001586	32289
a00001587	32290
a00001588	32291
a00001589	32292
a00001590	32293
a00001591	32294
a00001592	32295
a00001593	32296
a00001594	32297
a00001595	32298
a00001596	32299
a00001597	32300
a00001598	32301
a00001599	32302
a00001600	32303
a00001601	32304
a00001602	32305
a00001603	32306
a00001604	32307
a00001605	32308
a00001606	32309
a00001607	32310
a00001608	32311
a00001609	32312
a00001610	32313
a00001611	32314
a00001612	32315
a00001613	32316
a00001614	32317
a00001615	32318
a00001616	32319
a00001617	32320
a00001618	32321
a00001619	32322
a00001620	32323
a00001621	32324
a00001622	32325
a00001623	32326
a00001624	32327
a00001625	32328
a00001626	32329
a00001627	32330
a00001628	32331
a00001629	32332
a00001630	32333
a00001631	32334
a00001632	32335
a00001633	32336
a00001634	32337
a00001635	32338
a00001636	32339
a00001637	32340
a00001638	32341
a00001639	32342
a00001640	32343
a00001641	32344
a00001642	32345
a00001643	32346
a00001644	32347
a00001645	32348
a00001646	32349
a00001647	32350
a00001648	32351
a00001649	32352
a00001650	32353
a00001651	32354
a00001652	32355
a00001653	32356
