annotation	node
a00000000	37060
a00000348	37061
a00000349	37062
a00000350	37063
a00000351	37064
a00000352	37065
a00000353	37066
a00000354	37067
a00000355	37068
a00000356	37069
a00000357	37070
a00000358	37071
a00000359	37072
a00000360	37073
a00000361	37074
a00000362	37075
a00000363	37076
a00000364	37077
a00000365	37078
a00000366	37079
a00000367	37080
a00000368	37081
a00000369	37082
a00000370	37083
a00000371	37084
a00000372	37085
a00000373	37086
a00000374	37087
a00000375	37088
a00000376	37089
a00000377	37090
a00000378	37091
a00000379	37092
a00000380	37093
a00000381	37094
a00000382	37095
a00000383	37096
a00000384	37097
a00000385	37098
a00000386	37099
a00000387	37100
a00000388	37101
a00000389	37102
a00000390	37103
a00000391	37104
a00000392	37105
a00000393	37106
a00000394	37107
a00000395	37108
a00000396	37109
a00000397	37110
a00000398	37111
a00000399	37112
a00000400	37113
a00000401	37114
a00000402	37115
a00000403	37116
a00000404	37117
a00000405	37118
a00000406	37119
a00000407	37120
a00000408	37121
a00000409	37122
a00000410	37123
a00000411	37124
a00000412	37125
a00000413	37126
a00000414	37127
a00000415	37128
a00000416	37129
a00000417	37130
a00000418	37131
a00000419	37132
a00000420	37133
a00000421	37134
a00000422	37135
a00000423	37136
a00000424	37137
a00000425	37138
a00000426	37139
a00000427	37140
a00000428	37141
a00000429	37142
a00000430	37143
a00000431	37144
a00000432	37145
a00000433	37146
a00000434	37147
a00000435	37148
a00000436	37149
a00000437	37150
a00000438	37151
a00000439	37152
a00000440	37153
a00000441	37154
a00000442	37155
a00000443	37156
a00000444	37157
a00000445	37158
a00000446	37159
a00000447	37160
a00000448	37161
a00000449	37162
a00000450	37163
a00000451	37164
a00000452	37165
a00000453	37166
a00000454	37167
a00000455	37168
a00000456	37169
a00000457	37170
a00000458	37171
a00000459	37172
a00000460	37173
a00000461	37174
a00000462	37175
a00000463	37176
a00000464	37177
a00000465	37178
a00000466	37179
a00000467	37180
a00000468	37181
a00000469	37182
a00000470	37183
a00000471	37184
a00000472	37185
a00000473	37186
a00000474	37187
a00000475	37188
a00000476	37189
a00000477	37190
a00000478	37191
a00000479	37192
a00000480	37193
a00000481	37194
a00000482	37195
a00000483	37196
a00000484	37197
a00000485	37198
a00000486	37199
a00000487	37200
a00000488	37201
a00000489	37202
a00000490	37203
a00000491	37204
a00000492	37205
a00000493	37206
a00000494	37207
a00000495	37208
a00000496	37209
a00000497	37210
a00000498	37211
a00000499	37212
a00000500	37213
a00000501	37214
a00000502	37215
a00000503	37216
a00000504	37217
a00000505	37218
a00000506	37219
a00000507	37220
a00000508	37221
a00000509	37222
a00000510	37223
a00000511	37224
a00000512	37225
a00000513	37226
a00000514	37227
a00000515	37228
a00000516	37229
a00000517	37230
a00000518	37231
a00000519	37232
a00000520	37233
a00000521	37234
a00000522	37235
a00000523	37236
a00000524	37237
a00000525	37238
a00000526	37239
a00000527	37240
a00000528	37241
a00000529	37242
a00000530	37243
a00000531	37244
a00000532	37245
a00000533	37246
a00000534	37247
a00000535	37248
a00000536	37249
