annotation	node
a00000000	38671
a00000693	38672
a00000694	38673
a00000695	38674
a00000696	38675
a00000697	38676
a00000698	38677
a00000699	38678
a00000700	38679
a00000701	38680
a00000702	38681
a00000703	38682
a00000704	38683
a00000705	38684
a00000706	38685
a00000707	38686
a00000708	38687
a00000709	38688
a00000710	38689
a00000711	38690
a00000712	38691
a00000713	38692
a00000714	38693
a00000715	38694
a00000716	38695
a00000717	38696
a00000718	38697
a00000719	38698
a00000720	38699
a00000721	38700
a00000722	38701
a00000723	38702
a00000724	38703
a00000725	38704
a00000726	38705
a00000727	38706
a00000728	38707
a00000729	38708
a00000730	38709
a00000731	38710
a00000732	38711
a00000733	38712
a00000734	38713
a00000735	38714
a00000736	38715
a00000737	38716
a00000738	38717
a00000739	38718
a00000740	38719
a00000741	38720
a00000742	38721
a00000743	38722
a00000744	38723
a00000745	38724
a00000746	38725
a00000747	38726
a00000748	38727
a00000749	38728
a00000750	38729
a00000751	38730
a00000752	38731
a00000753	38732
a00000754	38733
a00000755	38734
a00000756	38735
a00000757	38736
a00000758	38737
a00000759	38738
a00000760	38739
a00000761	38740
a00000762	38741
a00000763	38742
a00000764	38743
a00000765	38744
a00000766	38745
a00000767	38746
a00000768	38747
a00000769	38748
a00000770	38749
a00000771	38750
a00000772	38751
a00000773	38752
a00000774	38753
a00000775	38754
a00000776	38755
a00000777	38756
a00000778	38757
a00000779	38758
a00000780	38759
a00000781	38760
a00000782	38761
a00000783	38762
a00000784	38763
a00000785	38764
a00000786	38765
a00000787	38766
a00000788	38767
a00000789	38768
a00000790	38769
a00000791	38770
a00000792	38771
a00000793	38772
a00000794	38773
a00000795	38774
a00000796	38775
a00000797	38776
a00000798	38777
a00000799	38778
a00000800	38779
a00000801	38780
a00000802	38781
a00000803	38782
a00000804	38783
a00000805	38784
a00000806	38785
a00000807	38786
a00000808	38787
a00000809	38788
a00000810	38789
a00000811	38790
a00000812	38791
a00000813	38792
a00000814	38793
a00000815	38794
a00000816	38795
a00000817	38796
a00000818	38797
a00000819	38798
a00000820	38799
a00000821	38800
a00000822	38801
a00000823	38802
a00000824	38803
a00000825	38804
a00000826	38805
a00000827	38806
a00000828	38807
a00000829	38808
a00000830	38809
a00000831	38810
a00000832	38811
a00000833	38812
a00000834	38813
a00000835	38814
a00000836	38815
a00000837	38816
a00000838	38817
a00000839	38818
a00000840	38819
a00000841	38820
a00000842	38821
a00000843	38822
a00000844	38823
a00000845	38824
a00000846	38825
a00000847	38826
a00000848	38827
a00000849	38828
a00000850	38829
a00000851	38830
a00000852	38831
a00000853	38832
a00000854	38833
a00000855	38834
a00000856	38835
a00000857	38836
a00000858	38837
a00000859	38838
a00000860	38839
a00000861	38840
a00000862	38841
a00000863	38842
a00000864	38843
a00000865	38844
a00000866	38845
a00000867	38846
a00000868	38847
a00000869	38848
a00000870	38849
a00000871	38850
a00000872	38851
a00000873	38852
a00000874	38853
a00000875	38854
a00000876	38855
a00000877	38856
a00000878	38857
a00000879	38858
a00000880	38859
a00000881	38860
a00000882	38861
a00000883	38862
a00000884	38863
a00000885	38864
a00000886	38865
a00000887	38866
a00000888	38867
a00000889	38868
a00000890	38869
a00000891	38870
a00000892	38871
a00000893	38872
a00000894	38873
a00000895	38874
a00000896	38875
a00000897	38876
a00000898	38877
a00000899	38878
a00000900	38879
a00000901	38880
a00000902	38881
a00000903	38882
a00000904	38883
a00000905	38884
a00000906	38885
a00000907	38886
a00000908	38887
a00000909	38888
a00000910	38889
a00000911	38890
a00000912	38891
a00000913	38892
a00000914	38893
a00000915	38894
a00000916	38895
a00000917	38896
a00000918	38897
a00000919	38898
a00000920	38899
a00000921	38900
a00000922	38901
a00000923	38902
a00000924	38903
a00000925	38904
a00000926	38905
a00000927	38906
a00000928	38907
a00000929	38908
a00000930	38909
a00000931	38910
a00000932	38911
a00000933	38912
a00000934	38913
a00000935	38914
a00000936	38915
a00000937	38916
a00000938	38917
a00000939	38918
a00000940	38919
a00000941	38920
a00000942	38921
a00000943	38922
a00000944	38923
a00000945	38924
a00000946	38925
a00000947	38926
a00000948	38927
a00000949	38928
a00000950	38929
a00000951	38930
a00000952	38931
a00000953	38932
a00000954	38933
a00000955	38934
a00000956	38935
a00000957	38936
a00000958	38937
a00000959	38938
a00000960	38939
a00000961	38940
a00000962	38941
a00000963	38942
a00000964	38943
a00000965	38944
a00000966	38945
a00000967	38946
a00000968	38947
a00000969	38948
a00000970	38949
a00000971	38950
a00000972	38951
a00000973	38952
a00000974	38953
a00000975	38954
a00000976	38955
a00000977	38956
a00000978	38957
a00000979	38958
a00000980	38959
a00000981	38960
a00000982	38961
a00000983	38962
a00000984	38963
a00000985	38964
a00000986	38965
a00000987	38966
a00000988	38967
a00000989	38968
a00000990	38969
a00000991	38970
a00000992	38971
a00000993	38972
a00000994	38973
a00000995	38974
a00000996	38975
a00000997	38976
a00000998	38977
a00000999	38978
a00001000	38979
a00001001	38980
a00001002	38981
a00001003	38982
a00001004	38983
a00001005	38984
a00001006	38985
a00001007	38986
a00001008	38987
a00001009	38988
a00001010	38989
a00001011	38990
a00001012	38991
a00001013	38992
a00001014	38993
a00001015	38994
a00001016	38995
a00001017	38996
a00001018	38997
a00001019	38998
a00001020	38999
a00001021	39000
a00001022	39001
a00001023	39002
a00001024	39003
a00001025	39004
a00001026	39005
a00001027	39006
a00001028	39007
a00001029	39008
a00001030	39009
a00001031	39010
a00001032	39011
a00001033	39012
a00001034	39013
a00001035	39014
a00001036	39015
a00001037	39016
a00001038	39017
a00001039	39018
a00001040	39019
a00001041	39020
a00001042	39021
a00001043	39022
a00001044	39023
a00001045	39024
a00001046	39025
a00001047	39026
a00001048	39027
a00001049	39028
a00001050	39029
a00001051	39030
a00001052	39031
a00001053	39032
a00001054	39033
a00001055	39034
a00001056	39035
a00001057	39036
a00001058	39037
a00001059	39038
a00001060	39039
a00001061	39040
a00001062	39041
a00001063	39042
a00001064	39043
a00001065	39044
a00001066	39045
a00001067	39046
a00001068	39047
a00001069	39048
a00001070	39049
a00001071	39050
a00001072	39051
a00001073	39052
a00001074	39053
a00001075	39054
a00001076	39055
a00001077	39056
a00001078	39057
a00001079	39058
a00001080	39059
a00001081	39060
a00001082	39061
a00001083	39062
a00001084	39063
a00001085	39064
a00001086	39065
a00001087	39066
a00001088	39067
a00001089	39068
a00001090	39069
a00001091	39070
a00001092	39071
a00001093	39072
a00001094	39073
a00001095	39074
a00001096	39075
a00001097	39076
a00001098	39077
a00001099	39078
a00001100	39079
a00001101	39080
a00001102	39081
a00001103	39082
a00001104	39083
a00001105	39084
a00001106	39085
a00001107	39086
a00001108	39087
a00001109	39088
