id	origin	earliest	latest	form	form_type	is_anonymous	genre	subgenre	has_dramaweb_scan	has_dramaweb_transcription	ceneton_scan	ceneton_transcription	external_scan	external_transcription	fingerprint	literature	remarks	link_ub_antwerp	link_kbb	link_ub_gent	link_bnf	link_kb	link_google	link_bll
2009	M1906	1756-01-01	1756-12-31	Synopsis (printed)	Synopsis	f	Comedy		f	f				f		Goran Proot, 'Het toneel van de Antwerpse Augustijnen (1671-1783)' in: De Gulden Passer. Jaargang 76-77 (1998-1999), p. 183-194, via: https://www.dbnl.org/tekst/_gul005199801_01/_gul005199801_01_0008.php								
2010	M1907	1756-01-01	1756-12-31	Synopsis (printed)	Synopsis	f	Comedy		f	f				f		Goran Proot, 'Het toneel van de Antwerpse Augustijnen (1671-1783)' in: De Gulden Passer. Jaargang 76-77 (1998-1999), p. 183-194, via: https://www.dbnl.org/tekst/_gul005199801_01/_gul005199801_01_0008.php								
2011	M1910	1756-01-01	1756-12-31	Synopsis (printed)	Synopsis	f	Tragedy		f	f				f		Goran Proot, 'Het toneel van de Antwerpse Augustijnen (1671-1783)' in: De Gulden Passer. Jaargang 76-77 (1998-1999), p. 183-194, via: https://www.dbnl.org/tekst/_gul005199801_01/_gul005199801_01_0008.php								
2012	M1915	1757-01-01	1757-12-31	Synopsis (printed)	Synopsis	f	Comedy		f	f				f		Goran Proot, 'Het toneel van de Antwerpse Augustijnen (1671-1783)' in: De Gulden Passer. Jaargang 76-77 (1998-1999), p. 183-194, via: https://www.dbnl.org/tekst/_gul005199801_01/_gul005199801_01_0008.php								
2013	M1916	1757-01-01	1757-12-31	Synopsis (printed)	Synopsis	f	Comedy		f	f				f		Goran Proot, 'Het toneel van de Antwerpse Augustijnen (1671-1783)' in: De Gulden Passer. Jaargang 76-77 (1998-1999), p. 183-194, via: https://www.dbnl.org/tekst/_gul005199801_01/_gul005199801_01_0008.php								
2014	M1917	1757-01-01	1757-12-31	Manuscript	Full edition	f			f	f				f										
2015	M1918	1757-01-01	1757-12-31	Synopsis (printed)	Synopsis	f	Tragedy		f	f				f		Goran Proot, 'Het toneel van de Antwerpse Augustijnen (1671-1783)' in: De Gulden Passer. Jaargang 76-77 (1998-1999), p. 183-194, via: https://www.dbnl.org/tekst/_gul005199801_01/_gul005199801_01_0008.php			https://opac.kbr.be/LIBRARY/doc/SYRACUSE/18386012  					
2016	M1919	1757-01-01	1757-12-31	Synopsis	Synopsis	f	Tragedy		f	f				f										
2017	M1924	1758-01-01	1758-12-31	Mention	Fragment	f			f	f				f										
2018	M1936	1759-01-01	1759-12-31	Synopsis	Synopsis	f	Pastoral play		f	f				f										
2019	M194	1596-01-01	1596-12-31	First Printing	Full edition	f			t	t				f										
2020	M196	1598-01-01	1598-12-31	Reprint	Full edition	f			f	f				f										
2021	M197	1598-01-01	1598-12-31	Reprint	Full edition	f			f	f				f										
2022	M198	1598-01-01	1598-12-31	Reprint	Full edition	f	Comedy		f	f				f										
2023	M199	1598-01-01	1598-12-31	Reprint	Full edition	f			f	f				f										
2024	M200	1598-01-01	1598-12-31	Reprint	Full edition	f			f	f				f										
2025	M201	1598-01-01	1598-12-31	Reprint	Full edition	f			f	f				f										
4019	M2027	1767-01-01	1767-12-31	Synopsis	Synopsis	t			f	f				f										
2026	M2037	1768-01-01	1768-12-31	Reprint	Full edition	f			f	f				f	000004 - a1 A2 Joc - b1 A3 $ex b2 Z theo - c1 Aa ripi : c2 Lll dona$									
2027	M2043	1769-01-01	1769-12-31	Synopsis	Synopsis	f			f	f				f										
2028	M2068	1771-01-01	1771-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2029	M2071	1771-01-01	1771-12-31	Synopsis	Synopsis	f	Comedy		f	f				f										
2030	M2072	1771-01-01	1771-12-31	Mention	Fragment	f	Comedy		f	f				f										
2031	M2082	1772-01-01	1772-12-31	Synopsis (printed)	Synopsis	f			f	f				f					https://opac.kbr.be/LIBRARY/doc/SYRACUSE/18402261					
4093	M2105	1774-01-01	1774-12-31	Synopsis	Synopsis	t			f	f				f										
2032	M2111	1775-01-01	1775-12-31	First Printing	Full edition	f			f	f				f										
2033	M2113	1775-01-01	1775-12-31	Reprint	Full edition	f			f	f				f										
2034	M2120	1776-01-01	1776-12-31	Mention	Fragment	f	Comedy	Farce	f	f				f										
2035	M2134	1545-01-01	1555-12-31	Manuscript	Full edition	f			t	t				f										
2036	M2135	1545-01-01	1555-12-31	Manuscript	Full edition	f			t	t				f										
2037	M2136	1545-01-01	1555-12-31	Manuscript	Full edition	f			t	t				f										
2038	M2137	1545-01-01	1555-12-31	Manuscript	Full edition	f			t	t				f										
2039	M2138	1545-01-01	1555-12-31	Manuscript	Full edition	f			t	t	https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/Molanus69Salomon	https://www.let.leidenuniv.nl/Dutch/Ceneton/Molanus69Salomon.html		f										
2040	M2139	1545-01-01	1555-12-31	Manuscript	Full edition	f			t	t				f										
2041	M2140	1545-01-01	1555-12-31	Manuscript	Full edition	f			t	t				f										
2042	M2141	1557-01-01	1567-12-31	First Printing	Full edition	f			f	f				f										
2043	M2142	1560-01-01	1570-12-31	First Printing	Full edition	f	Comedy		f	f				f										
2044	M2143	1560-01-01	1570-12-31	First Printing	Full edition	f	Comedy		f	f				f										
2045	M2144	1589-01-01	1590-12-31	Manuscript	Full edition	f			f	f				f										
4124	M2145	1594-01-01	1604-12-31	Manuscript	Full edition	t			f	f				f	Ms									
2046	M2146	1595-01-01	1605-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2047	M2147	1595-01-01	1605-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2048	M2148	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2049	M2149	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2050	M2150	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2051	M2151	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2052	M2152	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2053	M2153	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2054	M2154	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2055	M2155	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2056	M2156	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2057	M2157	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2058	M2158	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2059	M2159	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2060	M2160	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2061	M2161	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2062	M2162	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2063	M2163	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2064	M2164	1595-01-01	1605-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2065	M2165	1595-01-01	1605-12-31	First Printing	Full edition	f			f	f				f										
2066	M2166	1600-01-01	1601-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2067	M2167	1600-01-01	1635-12-31	Manuscript	Full edition	f	Tragedy		t	t				f	Ms									
2068	M2168	1605-01-01	1615-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2069	M2169	1607-01-01	1617-12-31	Mention	Fragment	f			t	t				f										
2070	M2170	1610-01-01	1620-12-31	Manuscript	Full edition	f			f	f				f										
2071	M2171	1610-01-01	1620-12-31	Manuscript	Full edition	f	Tragedy		f	f				f	Ms									
2072	M2172	1615-01-01	1625-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2073	M2173	1616-01-01	1626-12-31	Manuscript	Full edition	f	Tragedy		f	f				f	Ms									
2074	M2174	1619-01-01	1629-12-31	Mention	Fragment	f			f	f				f										
2075	M2176	1629-01-01	1639-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2076	M2177	1630-01-01	1640-12-31	First Printing	Full edition	f			f	f				f										
2077	M2178	1645-01-01	1655-12-31	Manuscript	Full edition	f			f	f				f										
2078	M2179	1645-01-01	1655-12-31	Manuscript	Full edition	f			f	f				f		Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836								
2079	M2180	1645-01-01	1655-12-31	Synopsis (printed)	Synopsis	f			f	f				f										
2080	M2181	1645-01-01	1655-12-31	Manuscript	Full edition	f			f	f				f		Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836								
2081	M2182	1645-01-01	1655-12-31	Synopsis (printed)	Synopsis	f			f	f				f					https://opac.kbr.be/LIBRARY/doc/SYRACUSE/18400374					
2082	M2183	1645-01-01	1655-12-31	Manuscript	Full edition	f			f	f				f										
2083	M2184	1645-01-01	1655-12-31	Manuscript	Full edition	f			f	f				f										
2084	M2186	1645-01-01	1655-12-31	Manuscript	Full edition	f			f	f				f										
2085	M2187	1645-01-01	1655-12-31	Manuscript	Full edition	f			f	f				f										
2086	M2188	1645-01-01	1655-12-31	Manuscript	Full edition	f			f	f				f										
2087	M2189	1645-01-01	1655-12-31	Manuscript	Full edition	f			f	f				f										
2088	M2190	1645-01-01	1655-12-31	Manuscript	Full edition	f			f	f				f										
2089	M2191	1645-01-01	1655-12-31	Manuscript	Full edition	f			f	f				f										
2090	M2192	1645-01-01	1655-12-31	Manuscript	Full edition	f			f	f				f										
2091	M2193	1645-01-01	1655-12-31	Manuscript	Full edition	f			f	f				f										
2092	M2194	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2093	M2195	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2094	M2196	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2095	M2197	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2096	M2198	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2097	M2199	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2098	M2200	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2099	M2201	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2100	M2202	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2101	M2203	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2102	M2204	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2103	M2205	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2104	M2206	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2105	M2207	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2106	M2208	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2107	M2209	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2108	M2210	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2109	M2211	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2110	M2212	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2111	M2213	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2112	M2214	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2113	M2215	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2114	M2216	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2115	M2217	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2116	M2218	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2117	M2219	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2118	M2220	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2119	M2221	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2120	M2222	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2121	M2223	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2122	M2224	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2123	M2225	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2124	M2226	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2125	M2227	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2126	M2228	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms									
2127	M2229	1650-01-01	1690-12-31	Manuscript	Full edition	f			f	f				f	Ms	Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836								
2128	M2230	1675-01-01	1685-12-31	Synopsis (manuscript)	Synopsis	f			f	f				f	Ms	Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836								
2129	M2231	1675-01-01	1685-12-31	Synopsis (manuscript)	Synopsis	f			f	f				f	Ms	Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836								
2130	M2232	1675-01-01	1685-12-31	Synopsis (manuscript)	Synopsis	f			f	f				f	Ms									
2131	M2233	1675-01-01	1685-12-31	Synopsis (manuscript)	Synopsis	f			f	f				f	Ms	Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836								
2132	M2234	1675-01-01	1685-12-31	Synopsis (manuscript)	Synopsis	f			f	f				f	Ms									
2133	M2235	1675-01-01	1700-12-31	Synopsis (manuscript)	Synopsis	f			f	f				f	Ms	Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836								
2134	M2236	1680-01-01	1690-12-31	Manuscript	Full edition	f	Comedy		f	f				f						https://lib.ugent.be/catalog/rug01:000792528				
2135	M2239	1694-01-01	1704-12-31	Manuscript	Full edition	f			f	f				f										
2136	M2241	1695-01-01	1705-12-31	Manuscript	Full edition	f	Tragicomedy		f	f				f	Ms	Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836								
2137	M2242	1695-01-01	1705-12-31	Synopsis (manuscript)	Synopsis	f			f	f				f	Ms									
2138	M2243	1700-01-01	1720-12-31	Synopsis (manuscript)	Synopsis	f			f	f			http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra=	f	Ms									
2139	M2244	1701-01-01	1726-12-31	Synopsis	Synopsis	f			f	f				f		Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836			https://opac.kbr.be/LIBRARY/doc/SYRACUSE/18022999					
2140	M2245	1718-01-01	1754-12-31	Synopsis (printed)	Synopsis	f			f	f				f					https://opac.kbr.be/LIBRARY/doc/SYRACUSE/18400942					
2141	M2246	1727-01-01	1737-12-31	Synopsis	Synopsis	f			f	f				f										
2142	M2248	1765-01-01	1775-12-31	Manuscript	Full edition	f			f	f				f	Ms									
4227	M2249	1794-01-01	1804-12-31	Manuscript	Full edition	t	Tragedy		f	f				f	Ms									
2143	M226	1603-01-01	1603-12-31	First Printing	Full edition	f			f	f				f										
2144	M227	1603-01-01	1603-12-31	First Printing	Full edition	f			f	f				f										
2145	M245	1611-01-01	1611-12-31	First Printing	Full edition	f			t	t				f										
2146	M246	1611-01-01	1611-12-31	Synopsis	Synopsis	f	Comical tragedy		f	f				f		Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836								
2147	M247	1611-01-01	1611-12-31	Reprint	Full edition	f			f	f				f										
2148	M261	1614-01-01	1614-12-31	First Printing	Full edition	f			f	f				f										
2149	M271	1615-01-01	1615-12-31	Synopsis	Synopsis	f	Tragicomedy		f	f				f					https://opac.kbr.be/LIBRARY/doc/SYRACUSE/13540933					
2150	M273	1612-01-01	1618-12-31	Reprint	Full edition	f			f	f				f										
2151	M277	1616-01-01	1616-12-31	Synopsis	Synopsis	f			f	f				f										
2152	M280	1617-01-01	1617-12-31	First Printing	Full edition	f			t	t			http://books.google.be/books?id=sLcTAAAAQAAJ&pg=PA146&dq=patrisfamilias+surius&hl=nl&sa=X&ei=2XFtUvOQDYmO0AX3zYG4Cg&ved=0CG0Q6AEwCA#v=onepage&q=patrisfamilias%20surius&f=false	f										
