annotation	node
a00000000	1695
a00000009	1696
a00000010	1697
a00000011	1698
a00000012	1699
a00000013	1700
a00000014	1701
a00000015	1702
a00000016	1703
a00000017	1704
a00000018	1705
a00000019	1706
a00000020	1707
a00000021	1708
a00000022	1709
a00000023	1710
a00000024	1711
a00000025	1712
a00000026	1713
a00000027	1714
a00000028	1715
a00000029	1716
a00000030	1717
a00000031	1718
a00000032	1719
a00000033	1720
a00000034	1721
a00000035	1722
a00000036	1723
a00000037	1724
a00000038	1725
a00000039	1726
a00000040	1727
a00000041	1728
a00000042	1729
a00000043	1730
a00000044	1731
a00000045	1732
a00000046	1733
a00000047	1734
a00000048	1735
a00000049	1736
a00000050	1737
a00000051	1738
a00000052	1739
a00000053	1740
a00000054	1741
a00000055	1742
a00000056	1743
a00000057	1744
a00000058	1745
a00000059	1746
a00000060	1747
a00000061	1748
a00000062	1749
a00000063	1750
a00000064	1751
a00000065	1752
a00000066	1753
a00000067	1754
a00000068	1755
a00000069	1756
a00000070	1757
a00000071	1758
a00000072	1759
a00000073	1760
a00000074	1761
a00000075	1762
a00000076	1763
a00000077	1764
a00000078	1765
a00000079	1766
a00000080	1767
a00000081	1768
a00000082	1769
a00000083	1770
a00000084	1771
a00000085	1772
a00000086	1773
a00000087	1774
a00000088	1775
a00000089	1776
a00000090	1777
a00000091	1778
a00000092	1779
a00000093	1780
a00000094	1781
a00000095	1782
a00000096	1783
a00000097	1784
a00000098	1785
a00000099	1786
a00000100	1787
a00000101	1788
a00000102	1789
a00000103	1790
a00000104	1791
a00000105	1792
a00000106	1793
a00000107	1794
a00000108	1795
a00000109	1796
a00000110	1797
a00000111	1798
a00000112	1799
a00000113	1800
a00000114	1801
a00000115	1802
a00000116	1803
a00000117	1804
a00000118	1805
a00000119	1806
a00000120	1807
a00000121	1808
a00000122	1809
a00000123	1810
a00000124	1811
a00000125	1812
a00000126	1813
a00000127	1814
a00000128	1815
a00000129	1816
a00000130	1817
a00000131	1818
a00000132	1819
a00000133	1820
a00000134	1821
a00000135	1822
a00000136	1823
a00000137	1824
a00000138	1825
a00000139	1826
a00000140	1827
a00000141	1828
a00000142	1829
a00000143	1830
a00000144	1831
a00000145	1832
a00000146	1833
a00000147	1834
a00000148	1835
a00000149	1836
a00000150	1837
a00000151	1838
a00000152	1839
a00000153	1840
a00000154	1841
a00000155	1842
a00000156	1843
a00000157	1844
a00000158	1845
a00000159	1846
a00000160	1847
a00000161	1848
a00000162	1849
a00000163	1850
a00000164	1851
a00000165	1852
a00000166	1853
a00000167	1854
a00000168	1855
a00000169	1856
a00000170	1857
a00000171	1858
a00000172	1859
a00000173	1860
a00000174	1861
a00000175	1862
a00000176	1863
a00000177	1864
a00000178	1865
a00000179	1866
a00000180	1867
a00000181	1868
a00000182	1869
a00000183	1870
a00000184	1871
a00000185	1872
a00000186	1873
a00000187	1874
a00000188	1875
a00000189	1876
a00000190	1877
a00000191	1878
a00000192	1879
a00000193	1880
a00000194	1881
a00000195	1882
a00000196	1883
a00000197	1884
a00000198	1885
a00000199	1886
a00000200	1887
a00000201	1888
a00000202	1889
a00000203	1890
a00000204	1891
a00000205	1892
a00000206	1893
a00000207	1894
a00000208	1895
a00000209	1896
a00000210	1897
a00000211	1898
a00000212	1899
a00000213	1900
a00000214	1901
a00000215	1902
a00000216	1903
a00000217	1904
a00000218	1905
a00000219	1906
a00000220	1907
a00000221	1908
a00000222	1909
a00000223	1910
a00000224	1911
a00000225	1912
a00000226	1913
a00000227	1914
a00000228	1915
a00000229	1916
a00000230	1917
a00000231	1918
a00000232	1919
a00000233	1920
a00000234	1921
a00000235	1922
a00000236	1923
a00000237	1924
a00000238	1925
a00000239	1926
a00000240	1927
a00000241	1928
a00000242	1929
a00000243	1930
a00000244	1931
a00000245	1932
a00000246	1933
a00000247	1934
a00000248	1935
a00000249	1936
a00000250	1937
a00000251	1938
a00000252	1939
a00000253	1940
a00000254	1941
a00000255	1942
a00000256	1943
a00000257	1944
a00000258	1945
a00000259	1946
a00000260	1947
a00000261	1948
a00000262	1949
a00000263	1950
a00000264	1951
a00000265	1952
a00000266	1953
a00000267	1954
a00000268	1955
a00000269	1956
a00000270	1957
a00000271	1958
a00000272	1959
a00000273	1960
a00000274	1961
a00000275	1962
a00000276	1963
a00000277	1964
a00000278	1965
a00000279	1966
a00000280	1967
a00000281	1968
a00000282	1969
a00000283	1970
a00000284	1971
a00000285	1972
a00000286	1973
a00000287	1974
a00000288	1975
a00000289	1976
a00000290	1977
a00000291	1978
a00000292	1979
a00000293	1980
a00000294	1981
a00000295	1982
a00000296	1983
a00000297	1984
a00000298	1985
a00000299	1986
a00000300	1987
a00000301	1988
a00000302	1989
a00000303	1990
a00000304	1991
a00000305	1992
a00000306	1993
a00000307	1994
a00000308	1995
a00000309	1996
a00000310	1997
a00000311	1998
a00000312	1999
a00000313	2000
a00000314	2001
a00000315	2002
a00000316	2003
a00000317	2004
a00000318	2005
a00000319	2006
a00000320	2007
a00000321	2008
a00000322	2009
a00000323	2010
a00000324	2011
a00000325	2012
a00000326	2013
a00000327	2014
a00000328	2015
a00000001	2016
a00000002	2017
a00000003	2018
a00000004	2019
a00000005	2020
a00000006	2021
a00000007	2022
a00000008	2023
