annotation	node
a00000000	50728
a00000773	50729
a00000774	50730
a00000775	50731
a00000776	50732
a00000777	50733
a00000778	50734
a00000779	50735
a00000780	50736
a00000781	50737
a00000782	50738
a00000783	50739
a00000784	50740
a00000785	50741
a00000786	50742
a00000787	50743
a00000788	50744
a00000789	50745
a00000790	50746
a00000791	50747
a00000792	50748
a00000793	50749
a00000794	50750
a00000795	50751
a00000796	50752
a00000797	50753
a00000798	50754
a00000799	50755
a00000800	50756
a00000801	50757
a00000802	50758
a00000803	50759
a00000804	50760
a00000805	50761
a00000806	50762
a00000807	50763
a00000808	50764
a00000809	50765
a00000810	50766
a00000811	50767
a00000812	50768
a00000813	50769
a00000814	50770
a00000815	50771
a00000816	50772
a00000817	50773
a00000818	50774
a00000819	50775
a00000820	50776
a00000821	50777
a00000822	50778
a00000823	50779
a00000824	50780
a00000825	50781
a00000826	50782
a00000827	50783
a00000828	50784
a00000829	50785
a00000830	50786
a00000831	50787
a00000832	50788
a00000833	50789
a00000834	50790
a00000835	50791
a00000836	50792
a00000837	50793
a00000838	50794
a00000839	50795
a00000840	50796
a00000841	50797
a00000842	50798
a00000843	50799
a00000844	50800
a00000845	50801
a00000846	50802
a00000847	50803
a00000848	50804
a00000849	50805
a00000850	50806
a00000851	50807
a00000852	50808
a00000853	50809
a00000854	50810
a00000855	50811
a00000856	50812
a00000857	50813
a00000858	50814
a00000859	50815
a00000860	50816
a00000861	50817
a00000862	50818
a00000863	50819
a00000864	50820
a00000865	50821
a00000866	50822
a00000867	50823
a00000868	50824
a00000869	50825
a00000870	50826
a00000871	50827
a00000872	50828
a00000873	50829
a00000874	50830
a00000875	50831
a00000876	50832
a00000877	50833
a00000878	50834
a00000879	50835
a00000880	50836
a00000881	50837
a00000882	50838
a00000883	50839
a00000884	50840
a00000885	50841
a00000886	50842
a00000887	50843
a00000888	50844
a00000889	50845
a00000890	50846
a00000891	50847
a00000892	50848
a00000893	50849
a00000894	50850
a00000895	50851
a00000896	50852
a00000897	50853
a00000898	50854
a00000899	50855
a00000900	50856
a00000901	50857
a00000902	50858
a00000903	50859
a00000904	50860
a00000905	50861
a00000906	50862
a00000907	50863
a00000908	50864
a00000909	50865
a00000910	50866
a00000911	50867
a00000912	50868
a00000913	50869
a00000914	50870
a00000915	50871
a00000916	50872
a00000917	50873
a00000918	50874
a00000919	50875
a00000920	50876
a00000921	50877
a00000922	50878
a00000923	50879
a00000924	50880
a00000925	50881
a00000926	50882
a00000927	50883
a00000928	50884
a00000929	50885
a00000930	50886
a00000931	50887
a00000932	50888
a00000933	50889
a00000934	50890
a00000935	50891
a00000936	50892
a00000937	50893
a00000938	50894
a00000939	50895
a00000940	50896
a00000941	50897
a00000942	50898
a00000943	50899
a00000944	50900
a00000945	50901
a00000946	50902
a00000947	50903
a00000948	50904
a00000949	50905
a00000950	50906
a00000951	50907
a00000952	50908
a00000953	50909
a00000954	50910
a00000955	50911
a00000956	50912
a00000957	50913
a00000958	50914
a00000959	50915
a00000960	50916
a00000961	50917
a00000962	50918
a00000963	50919
a00000964	50920
a00000965	50921
a00000966	50922
a00000967	50923
a00000968	50924
a00000969	50925
a00000970	50926
a00000971	50927
a00000972	50928
a00000973	50929
a00000974	50930
a00000975	50931
a00000976	50932
a00000977	50933
a00000978	50934
a00000979	50935
a00000980	50936
a00000981	50937
a00000982	50938
a00000983	50939
a00000984	50940
a00000985	50941
a00000986	50942
a00000987	50943
a00000988	50944
a00000989	50945
a00000990	50946
a00000991	50947
a00000992	50948
a00000993	50949
a00000994	50950
a00000995	50951
a00000996	50952
a00000997	50953
a00000998	50954
a00000999	50955
a00001000	50956
a00001001	50957
a00001002	50958
a00001003	50959
a00001004	50960
a00001005	50961
a00001006	50962
a00001007	50963
a00001008	50964
a00001009	50965
a00001010	50966
a00001011	50967
a00001012	50968
a00001013	50969
a00001014	50970
a00001015	50971
a00001016	50972
a00001017	50973
a00001018	50974
a00001019	50975
a00001020	50976
a00001021	50977
a00001022	50978
a00001023	50979
a00001024	50980
a00001025	50981
a00001026	50982
a00001027	50983
a00001028	50984
a00001029	50985
a00001030	50986
a00001031	50987
a00001032	50988
a00001033	50989
a00001034	50990
a00001035	50991
a00001036	50992
a00001037	50993
a00001038	50994
a00001039	50995
a00001040	50996
a00001041	50997
a00001042	50998
a00001043	50999
a00001044	51000
a00001045	51001
a00001046	51002
a00001047	51003
a00001048	51004
a00001049	51005
a00001050	51006
a00001051	51007
a00001052	51008
a00001053	51009
a00001054	51010
a00001055	51011
a00001056	51012
a00001057	51013
a00001058	51014
a00001059	51015
a00001060	51016
a00001061	51017
a00001062	51018
a00001063	51019
a00001064	51020
a00001065	51021
a00001066	51022
a00001067	51023
a00001068	51024
a00001069	51025
a00001070	51026
a00001071	51027
a00001072	51028
a00001073	51029
a00001074	51030
a00001075	51031
a00001076	51032
a00001077	51033
a00001078	51034
a00001079	51035
a00001080	51036
a00001081	51037
a00001082	51038
a00001083	51039
a00001084	51040
a00001085	51041
a00001086	51042
a00001087	51043
a00001088	51044
a00001089	51045
a00001090	51046
a00001091	51047
a00001092	51048
a00001093	51049
a00001094	51050
a00001095	51051
a00001096	51052
a00001097	51053
a00001098	51054
a00001099	51055
a00001100	51056
a00001101	51057
a00001102	51058
a00001103	51059
a00001104	51060
a00001105	51061
a00001106	51062
a00001107	51063
a00001108	51064
a00001109	51065
a00001110	51066
a00001111	51067
a00001112	51068
a00001113	51069
a00001114	51070
a00001115	51071
a00001116	51072
a00001117	51073
a00001118	51074
a00001119	51075
a00001120	51076
a00001121	51077
a00001122	51078
a00001123	51079
a00001124	51080
a00001125	51081
a00001126	51082
a00001127	51083
a00001128	51084
a00001129	51085
a00001130	51086
a00001131	51087
a00001132	51088
a00001133	51089
a00001134	51090
a00001135	51091
a00001136	51092
a00001137	51093
a00001138	51094
a00001139	51095
a00001140	51096
a00001141	51097
a00001142	51098
a00001143	51099
a00001144	51100
a00001145	51101
a00001146	51102
a00001147	51103
a00001148	51104
a00001149	51105
a00001150	51106
a00001151	51107
a00001152	51108
a00001153	51109
a00001154	51110
a00001155	51111
a00001156	51112
a00001157	51113
a00001158	51114
a00001159	51115
a00001160	51116
a00001161	51117
a00001162	51118
a00001163	51119
a00001164	51120
a00001165	51121
a00001166	51122
a00001167	51123
a00001168	51124
a00001169	51125
a00001170	51126
a00001171	51127
a00001172	51128
a00001173	51129
a00001174	51130
a00001175	51131
a00001176	51132
a00001177	51133
a00001178	51134
a00001179	51135
a00001180	51136
a00001181	51137
a00001182	51138
a00001183	51139
a00001184	51140
a00001185	51141
a00001186	51142
a00001187	51143
a00001188	51144
a00001189	51145
a00001190	51146
a00001191	51147
a00001192	51148
a00001193	51149
a00001194	51150
a00001195	51151
a00001196	51152
a00001197	51153
a00001198	51154
a00001199	51155
a00001200	51156
a00001201	51157
a00001202	51158
a00001203	51159
a00001204	51160
a00001205	51161
a00001206	51162
a00001207	51163
a00001208	51164
a00001209	51165
a00001210	51166
a00001211	51167
a00001212	51168
a00001213	51169
a00001214	51170
a00001215	51171
a00001216	51172
a00001217	51173
a00001218	51174
a00001219	51175
a00001220	51176
a00001221	51177
a00001222	51178
a00001223	51179
a00001224	51180
a00001225	51181
a00001226	51182
a00001227	51183
a00001228	51184
a00001229	51185
a00001230	51186
a00001231	51187
a00001232	51188
a00001233	51189
a00001234	51190
a00001235	51191
a00001236	51192
a00001237	51193
a00001238	51194
a00001239	51195
a00001240	51196
a00001241	51197
a00001242	51198
a00001243	51199
a00001244	51200
a00001245	51201
a00001246	51202
a00001247	51203
a00001248	51204
a00001249	51205
a00001250	51206
a00001251	51207
a00001252	51208
a00001253	51209
a00001254	51210
a00001255	51211
a00001256	51212
a00001257	51213
a00001258	51214
a00001259	51215
a00001260	51216
a00001261	51217
a00001262	51218
a00001263	51219
a00001264	51220
