annotation	node
a00000000	55152
a00001103	55153
a00001104	55154
a00001105	55155
a00001106	55156
a00001107	55157
a00001108	55158
a00001109	55159
a00001110	55160
a00001111	55161
a00001112	55162
a00001113	55163
a00001114	55164
a00001115	55165
a00001116	55166
a00001117	55167
a00001118	55168
a00001119	55169
a00001120	55170
a00001121	55171
a00001122	55172
a00001123	55173
a00001124	55174
a00001125	55175
a00001126	55176
a00001127	55177
a00001128	55178
a00001129	55179
a00001130	55180
a00001131	55181
a00001132	55182
a00001133	55183
a00001134	55184
a00001135	55185
a00001136	55186
a00001137	55187
a00001138	55188
a00001139	55189
a00001140	55190
a00001141	55191
a00001142	55192
a00001143	55193
a00001144	55194
a00001145	55195
a00001146	55196
a00001147	55197
a00001148	55198
a00001149	55199
a00001150	55200
a00001151	55201
a00001152	55202
a00001153	55203
a00001154	55204
a00001155	55205
a00001156	55206
a00001157	55207
a00001158	55208
a00001159	55209
a00001160	55210
a00001161	55211
a00001162	55212
a00001163	55213
a00001164	55214
a00001165	55215
a00001166	55216
a00001167	55217
a00001168	55218
a00001169	55219
a00001170	55220
a00001171	55221
a00001172	55222
a00001173	55223
a00001174	55224
a00001175	55225
a00001176	55226
a00001177	55227
a00001178	55228
a00001179	55229
a00001180	55230
a00001181	55231
a00001182	55232
a00001183	55233
a00001184	55234
a00001185	55235
a00001186	55236
a00001187	55237
a00001188	55238
a00001189	55239
a00001190	55240
a00001191	55241
a00001192	55242
a00001193	55243
a00001194	55244
a00001195	55245
a00001196	55246
a00001197	55247
a00001198	55248
a00001199	55249
a00001200	55250
a00001201	55251
a00001202	55252
a00001203	55253
a00001204	55254
a00001205	55255
a00001206	55256
a00001207	55257
a00001208	55258
a00001209	55259
a00001210	55260
a00001211	55261
a00001212	55262
a00001213	55263
a00001214	55264
a00001215	55265
a00001216	55266
a00001217	55267
a00001218	55268
a00001219	55269
a00001220	55270
a00001221	55271
a00001222	55272
a00001223	55273
a00001224	55274
a00001225	55275
a00001226	55276
a00001227	55277
a00001228	55278
a00001229	55279
a00001230	55280
a00001231	55281
a00001232	55282
a00001233	55283
a00001234	55284
a00001235	55285
a00001236	55286
a00001237	55287
a00001238	55288
a00001239	55289
a00001240	55290
a00001241	55291
a00001242	55292
a00001243	55293
a00001244	55294
a00001245	55295
a00001246	55296
a00001247	55297
a00001248	55298
a00001249	55299
a00001250	55300
a00001251	55301
a00001252	55302
a00001253	55303
a00001254	55304
a00001255	55305
a00001256	55306
a00001257	55307
a00001258	55308
a00001259	55309
a00001260	55310
a00001261	55311
a00001262	55312
a00001263	55313
a00001264	55314
a00001265	55315
a00001266	55316
a00001267	55317
a00001268	55318
a00001269	55319
a00001270	55320
a00001271	55321
a00001272	55322
a00001273	55323
a00001274	55324
a00001275	55325
a00001276	55326
a00001277	55327
a00001278	55328
a00001279	55329
a00001280	55330
a00001281	55331
a00001282	55332
a00001283	55333
a00001284	55334
a00001285	55335
a00001286	55336
a00001287	55337
a00001288	55338
a00001289	55339
a00001290	55340
a00001291	55341
a00001292	55342
a00001293	55343
a00001294	55344
a00001295	55345
a00001296	55346
a00001297	55347
a00001298	55348
a00001299	55349
a00001300	55350
a00001301	55351
a00001302	55352
a00001303	55353
a00001304	55354
a00001305	55355
a00001306	55356
a00001307	55357
a00001308	55358
a00001309	55359
a00001310	55360
a00001311	55361
a00001312	55362
a00001313	55363
a00001314	55364
a00001315	55365
a00001316	55366
a00001317	55367
a00001318	55368
a00001319	55369
a00001320	55370
a00001321	55371
a00001322	55372
a00001323	55373
a00001324	55374
a00001325	55375
a00001326	55376
a00001327	55377
a00001328	55378
a00001329	55379
a00001330	55380
a00001331	55381
a00001332	55382
a00001333	55383
a00001334	55384
a00001335	55385
a00001336	55386
a00001337	55387
a00001338	55388
a00001339	55389
a00001340	55390
a00001341	55391
a00001342	55392
a00001343	55393
a00001344	55394
a00001345	55395
a00001346	55396
a00001347	55397
a00001348	55398
a00001349	55399
a00001350	55400
a00001351	55401
a00001352	55402
a00001353	55403
a00001354	55404
a00001355	55405
a00001356	55406
a00001357	55407
a00001358	55408
a00001359	55409
a00001360	55410
a00001361	55411
a00001362	55412
a00001363	55413
a00001364	55414
a00001365	55415
a00001366	55416
a00001367	55417
a00001368	55418
a00001369	55419
a00001370	55420
a00001371	55421
a00001372	55422
a00001373	55423
a00001374	55424
a00001375	55425
a00001376	55426
a00001377	55427
a00001378	55428
a00001379	55429
a00001380	55430
a00001381	55431
a00001382	55432
a00001383	55433
a00001384	55434
a00001385	55435
a00001386	55436
a00001387	55437
a00001388	55438
a00001389	55439
