annotation	node
a00000000	259432
a00005401	259433
a00005402	259434
a00005403	259435
a00005404	259436
a00005405	259437
a00005406	259438
a00005407	259439
a00005408	259440
a00005409	259441
a00005410	259442
a00005411	259443
a00005412	259444
a00005413	259445
a00005414	259446
a00005415	259447
a00005416	259448
a00005417	259449
a00005418	259450
a00005419	259451
a00005420	259452
a00005421	259453
a00005422	259454
a00005423	259455
a00005424	259456
a00005425	259457
a00005426	259458
a00005427	259459
a00005428	259460
a00005429	259461
a00005430	259462
a00005431	259463
a00005432	259464
a00005433	259465
a00005434	259466
a00005435	259467
a00005436	259468
a00005437	259469
a00005438	259470
a00005439	259471
a00005440	259472
a00005441	259473
a00005442	259474
a00005443	259475
a00005444	259476
a00005445	259477
a00005446	259478
a00005447	259479
a00005448	259480
a00005449	259481
a00005450	259482
a00005451	259483
a00005452	259484
a00005453	259485
a00005454	259486
a00005455	259487
a00005456	259488
a00005457	259489
a00005458	259490
a00005459	259491
a00005460	259492
a00005461	259493
a00005462	259494
a00005463	259495
a00005464	259496
a00005465	259497
a00005466	259498
a00005467	259499
a00005468	259500
a00005469	259501
a00005470	259502
a00005471	259503
a00005472	259504
a00005473	259505
a00005474	259506
a00005475	259507
a00005476	259508
a00005477	259509
a00005478	259510
a00005479	259511
a00005480	259512
a00005481	259513
a00005482	259514
a00005483	259515
a00005484	259516
a00005485	259517
a00005486	259518
a00005487	259519
a00005488	259520
a00005489	259521
a00005490	259522
a00005491	259523
a00005492	259524
a00005493	259525
a00005494	259526
a00005495	259527
a00005496	259528
a00005497	259529
a00005498	259530
a00005499	259531
a00005500	259532
a00005501	259533
a00005502	259534
a00005503	259535
a00005504	259536
a00005505	259537
a00005506	259538
a00005507	259539
a00005508	259540
a00005509	259541
a00005510	259542
a00005511	259543
a00005512	259544
a00005513	259545
a00005514	259546
a00005515	259547
a00005516	259548
a00005517	259549
a00005518	259550
a00005519	259551
a00005520	259552
a00005521	259553
a00005522	259554
a00005523	259555
a00005524	259556
a00005525	259557
a00005526	259558
a00005527	259559
a00005528	259560
a00005529	259561
a00005530	259562
a00005531	259563
a00005532	259564
a00005533	259565
a00005534	259566
a00005535	259567
a00005536	259568
a00005537	259569
a00005538	259570
a00005539	259571
a00005540	259572
a00005541	259573
a00005542	259574
a00005543	259575
a00005544	259576
a00005545	259577
a00005546	259578
a00005547	259579
a00005548	259580
a00005549	259581
a00005550	259582
a00005551	259583
a00005552	259584
a00005553	259585
a00005554	259586
a00005555	259587
a00005556	259588
a00005557	259589
a00005558	259590
a00005559	259591
a00005560	259592
a00005561	259593
a00005562	259594
a00005563	259595
a00005564	259596
a00005565	259597
a00005566	259598
a00005567	259599
a00005568	259600
a00005569	259601
a00005570	259602
a00005571	259603
a00005572	259604
a00005573	259605
a00005574	259606
a00005575	259607
a00005576	259608
a00005577	259609
a00005578	259610
a00005579	259611
a00005580	259612
a00005581	259613
a00005582	259614
a00005583	259615
a00005584	259616
a00005585	259617
a00005586	259618
a00005587	259619
a00005588	259620
a00005589	259621
a00005590	259622
a00005591	259623
a00005592	259624
a00005593	259625
a00005594	259626
a00005595	259627
a00005596	259628
a00005597	259629
a00005598	259630
a00005599	259631
a00005600	259632
a00005601	259633
a00005602	259634
a00005603	259635
a00005604	259636
a00005605	259637
a00005606	259638
a00005607	259639
a00005608	259640
a00005609	259641
a00005610	259642
a00005611	259643
a00005612	259644
a00005613	259645
a00005614	259646
a00005615	259647
a00005616	259648
a00005617	259649
a00005618	259650
a00005619	259651
a00005620	259652
a00005621	259653
a00005622	259654
a00005623	259655
a00005624	259656
a00005625	259657
a00005626	259658
a00005627	259659
a00005628	259660
a00005629	259661
a00005630	259662
a00005631	259663
a00005632	259664
a00005633	259665
a00005634	259666
a00005635	259667
a00005636	259668
a00005637	259669
a00005638	259670
a00005639	259671
a00005640	259672
a00005641	259673
a00005642	259674
a00005643	259675
a00005644	259676
a00005645	259677
a00005646	259678
a00005647	259679
a00005648	259680
a00005649	259681
a00005650	259682
a00005651	259683
a00005652	259684
a00005653	259685
a00005654	259686
a00005655	259687
a00005656	259688
a00005657	259689
a00005658	259690
a00005659	259691
a00005660	259692
a00005661	259693
a00005662	259694
a00005663	259695
a00005664	259696
a00005665	259697
a00005666	259698
a00005667	259699
a00005668	259700
a00005669	259701
a00005670	259702
a00005671	259703
a00005672	259704
a00005673	259705
a00005674	259706
a00005675	259707
a00005676	259708
a00005677	259709
a00005678	259710
a00005679	259711
a00005680	259712
a00005681	259713
a00005682	259714
a00005683	259715
a00005684	259716
a00005685	259717
a00005686	259718
a00005687	259719
a00005688	259720
a00005689	259721
a00005690	259722
a00005691	259723
a00005692	259724
a00005693	259725
a00005694	259726
a00005695	259727
a00005696	259728
a00005697	259729
a00005698	259730
a00005699	259731
a00005700	259732
a00005701	259733
a00005702	259734
a00005703	259735
a00005704	259736
a00005705	259737
a00005706	259738
a00005707	259739
a00005708	259740
a00005709	259741
a00005710	259742
a00005711	259743
a00005712	259744
a00005713	259745
a00005714	259746
a00005715	259747
a00005716	259748
a00005717	259749
a00005718	259750
a00005719	259751
a00005720	259752
a00005721	259753
a00005722	259754
a00005723	259755
a00005724	259756
a00005725	259757
a00005726	259758
a00005727	259759
a00005728	259760
a00005729	259761
a00005730	259762
a00005731	259763
a00005732	259764
a00005733	259765
a00005734	259766
a00005735	259767
a00005736	259768
a00005737	259769
a00005738	259770
a00005739	259771
a00005740	259772
a00005741	259773
a00005742	259774
a00005743	259775
a00005744	259776
a00005745	259777
a00005746	259778
a00005747	259779
a00005748	259780
a00005749	259781
a00005750	259782
a00005751	259783
a00005752	259784
a00005753	259785
a00005754	259786
a00005755	259787
a00005756	259788
a00005757	259789
a00005758	259790
a00005759	259791
a00005760	259792
a00005761	259793
a00005762	259794
a00005763	259795
a00005764	259796
a00005765	259797
a00005766	259798
a00005767	259799
a00005768	259800
a00005769	259801
a00005770	259802
a00005771	259803
a00005772	259804
a00005773	259805
a00005774	259806
a00005775	259807
a00005776	259808
a00005777	259809
a00005778	259810
a00005779	259811
a00005780	259812
a00005781	259813
a00005782	259814
a00005783	259815
a00005784	259816
a00005785	259817
a00005786	259818
a00005787	259819
a00005788	259820
a00005789	259821
a00005790	259822
a00005791	259823
a00005792	259824
a00005793	259825
a00005794	259826
a00005795	259827
a00005796	259828
a00005797	259829
