annotation	node
a00000000	13648
a00000311	13649
a00000312	13650
a00000313	13651
a00000314	13652
a00000315	13653
a00000316	13654
a00000317	13655
a00000318	13656
a00000319	13657
a00000320	13658
a00000321	13659
a00000322	13660
a00000323	13661
a00000324	13662
a00000325	13663
a00000326	13664
a00000327	13665
a00000328	13666
a00000329	13667
a00000330	13668
a00000331	13669
a00000332	13670
a00000333	13671
a00000334	13672
a00000335	13673
a00000336	13674
a00000337	13675
a00000338	13676
a00000339	13677
a00000340	13678
a00000341	13679
a00000342	13680
a00000343	13681
a00000344	13682
a00000345	13683
a00000346	13684
a00000347	13685
a00000348	13686
a00000349	13687
a00000350	13688
a00000351	13689
a00000352	13690
a00000353	13691
a00000354	13692
a00000355	13693
a00000356	13694
a00000357	13695
a00000358	13696
a00000359	13697
a00000360	13698
a00000361	13699
a00000362	13700
a00000363	13701
a00000364	13702
a00000365	13703
a00000366	13704
a00000367	13705
a00000368	13706
a00000369	13707
a00000370	13708
a00000371	13709
a00000372	13710
a00000373	13711
a00000374	13712
a00000375	13713
a00000376	13714
a00000377	13715
a00000378	13716
a00000379	13717
a00000380	13718
a00000381	13719
a00000382	13720
a00000383	13721
a00000384	13722
a00000385	13723
a00000386	13724
a00000387	13725
a00000388	13726
a00000389	13727
a00000390	13728
a00000391	13729
a00000392	13730
a00000393	13731
a00000394	13732
a00000395	13733
a00000396	13734
a00000397	13735
a00000398	13736
a00000399	13737
a00000400	13738
a00000401	13739
a00000402	13740
a00000403	13741
a00000404	13742
a00000405	13743
a00000406	13744
a00000407	13745
a00000408	13746
a00000409	13747
a00000410	13748
a00000411	13749
a00000412	13750
a00000413	13751
a00000414	13752
a00000415	13753
a00000416	13754
a00000417	13755
a00000418	13756
a00000419	13757
a00000420	13758
a00000421	13759
a00000422	13760
a00000423	13761
a00000424	13762
a00000425	13763
a00000426	13764
a00000427	13765
a00000428	13766
a00000429	13767
a00000430	13768
a00000431	13769
a00000432	13770
a00000433	13771
a00000434	13772
a00000435	13773
a00000436	13774
a00000437	13775
a00000438	13776
a00000439	13777
a00000440	13778
a00000441	13779
a00000442	13780
a00000443	13781
a00000444	13782
a00000445	13783
a00000446	13784
a00000447	13785
a00000448	13786
a00000449	13787
a00000450	13788
a00000451	13789
a00000452	13790
a00000453	13791
a00000454	13792
a00000455	13793
a00000456	13794
a00000457	13795
a00000458	13796
a00000459	13797
a00000460	13798
a00000461	13799
a00000462	13800
a00000463	13801
a00000464	13802
a00000465	13803
a00000466	13804
a00000467	13805
a00000468	13806
a00000469	13807
a00000470	13808
a00000471	13809
a00000472	13810
a00000473	13811
a00000474	13812
a00000475	13813
a00000476	13814
a00000477	13815
a00000478	13816
a00000479	13817
a00000480	13818
a00000481	13819
a00000482	13820
a00000483	13821
a00000484	13822
a00000485	13823
a00000486	13824
a00000487	13825
a00000488	13826
a00000489	13827
a00000490	13828
a00000491	13829
a00000492	13830
a00000493	13831
a00000494	13832
a00000495	13833
a00000496	13834
a00000497	13835
a00000498	13836
a00000499	13837
a00000500	13838
a00000501	13839
a00000502	13840
a00000503	13841
a00000504	13842
a00000505	13843
a00000506	13844
a00000507	13845
a00000508	13846
a00000509	13847
a00000510	13848
a00000511	13849
a00000512	13850
a00000513	13851
a00000514	13852
a00000515	13853
a00000516	13854
a00000517	13855
a00000518	13856
a00000519	13857
a00000520	13858
a00000521	13859
a00000522	13860
a00000523	13861
a00000524	13862
a00000525	13863
a00000526	13864
a00000527	13865
a00000528	13866
a00000529	13867
a00000530	13868
a00000531	13869
a00000532	13870
a00000533	13871
a00000534	13872
a00000535	13873
a00000536	13874
a00000537	13875
a00000538	13876
a00000539	13877
a00000540	13878
a00000541	13879
a00000542	13880
a00000543	13881
a00000544	13882
a00000545	13883
a00000546	13884
a00000547	13885
a00000548	13886
a00000549	13887
a00000550	13888
a00000551	13889
a00000552	13890
a00000553	13891
a00000554	13892
a00000555	13893
a00000556	13894
a00000557	13895
a00000558	13896
a00000559	13897
a00000560	13898
a00000561	13899
a00000562	13900
a00000563	13901
a00000564	13902
a00000565	13903
a00000566	13904
a00000567	13905
a00000568	13906
a00000569	13907
a00000570	13908
a00000571	13909
a00000572	13910
a00000573	13911
a00000574	13912
a00000575	13913
a00000576	13914
a00000577	13915
a00000578	13916
a00000579	13917
a00000580	13918
a00000581	13919
a00000582	13920
a00000583	13921
a00000584	13922
a00000585	13923
a00000586	13924
a00000587	13925
a00000588	13926
a00000589	13927
a00000590	13928
a00000591	13929
a00000592	13930
a00000593	13931
a00000594	13932
a00000595	13933
a00000596	13934
a00000597	13935
a00000598	13936
a00000599	13937
a00000600	13938
a00000601	13939
a00000602	13940
a00000603	13941
a00000604	13942
a00000605	13943
a00000606	13944
a00000607	13945
a00000608	13946
a00000609	13947
a00000610	13948
a00000611	13949
a00000612	13950
a00000613	13951
a00000614	13952
a00000615	13953
a00000616	13954
a00000617	13955
a00000618	13956
a00000619	13957
a00000620	13958
a00000621	13959
a00000622	13960
a00000623	13961
a00000624	13962
a00000625	13963
a00000626	13964
a00000627	13965
a00000628	13966
a00000629	13967
a00000630	13968
a00000631	13969
a00000632	13970
a00000633	13971
a00000634	13972
a00000635	13973
a00000636	13974
a00000637	13975
a00000638	13976
a00000639	13977
a00000640	13978
a00000641	13979
a00000642	13980
a00000643	13981
a00000644	13982
a00000645	13983
a00000646	13984
a00000647	13985
a00000648	13986
a00000649	13987
a00000650	13988
a00000651	13989
a00000652	13990
a00000653	13991
a00000654	13992
a00000655	13993
a00000656	13994
a00000657	13995
a00000658	13996
a00000659	13997
a00000660	13998
a00000661	13999
a00000662	14000
a00000663	14001
a00000664	14002
a00000665	14003
a00000666	14004
a00000667	14005
a00000668	14006
