annotation	node
a00000000	10634
a00000271	10635
a00000272	10636
a00000273	10637
a00000274	10638
a00000275	10639
a00000276	10640
a00000277	10641
a00000278	10642
a00000279	10643
a00000280	10644
a00000281	10645
a00000282	10646
a00000283	10647
a00000284	10648
a00000285	10649
a00000286	10650
a00000287	10651
a00000288	10652
a00000289	10653
a00000290	10654
a00000291	10655
a00000292	10656
a00000293	10657
a00000294	10658
a00000295	10659
a00000296	10660
a00000297	10661
a00000298	10662
a00000299	10663
a00000300	10664
a00000301	10665
a00000302	10666
a00000303	10667
a00000304	10668
a00000305	10669
a00000306	10670
a00000307	10671
a00000308	10672
a00000309	10673
a00000310	10674
a00000311	10675
a00000312	10676
a00000313	10677
a00000314	10678
a00000315	10679
a00000316	10680
a00000317	10681
a00000318	10682
a00000319	10683
a00000320	10684
a00000321	10685
a00000322	10686
a00000323	10687
a00000324	10688
a00000325	10689
a00000326	10690
a00000327	10691
a00000328	10692
a00000329	10693
a00000330	10694
a00000331	10695
a00000332	10696
a00000333	10697
a00000334	10698
a00000335	10699
a00000336	10700
a00000337	10701
a00000338	10702
a00000339	10703
a00000340	10704
a00000341	10705
a00000342	10706
a00000343	10707
a00000344	10708
a00000345	10709
a00000346	10710
a00000347	10711
a00000348	10712
a00000349	10713
a00000350	10714
a00000351	10715
a00000352	10716
a00000353	10717
a00000354	10718
a00000355	10719
a00000356	10720
a00000357	10721
a00000358	10722
a00000359	10723
a00000360	10724
a00000361	10725
a00000362	10726
a00000363	10727
a00000364	10728
a00000365	10729
a00000366	10730
a00000367	10731
a00000368	10732
a00000369	10733
a00000370	10734
a00000371	10735
a00000372	10736
a00000373	10737
a00000374	10738
a00000375	10739
a00000376	10740
a00000377	10741
a00000378	10742
a00000379	10743
a00000380	10744
a00000381	10745
a00000382	10746
a00000383	10747
a00000384	10748
a00000385	10749
a00000386	10750
a00000387	10751
a00000388	10752
a00000389	10753
a00000390	10754
a00000391	10755
a00000392	10756
a00000393	10757
a00000394	10758
a00000395	10759
a00000396	10760
a00000397	10761
a00000398	10762
a00000399	10763
a00000400	10764
a00000401	10765
a00000402	10766
a00000403	10767
a00000404	10768
